stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,10.58,0,430.05,10.34,0,9.4,0,0,0,8.55,1.64,0,0,2.5,0,0,0,0,13.13,0,0,7.13,375.13,1.7,12.64,6.23,8.93,0,177.6,0,1.89,8.97,0,7.21,369.73,0,0,2.96,0,0
 24-34,9.79,1.44,189.57,3.17,0,31.93,0,4.59,0,9.7,0.67,2.35,0,1.86,0,8.24,9.11,0,49.92,0.84,0,7.61,3120.56,2.25,121.36,3.41,0,0,298.36,0,0,3.13,3.34,4.34,889.18,0,0,4.54,0,0
 36-46,2.35,0,97.01,0,0,96.63,0,18.9,0.57,17.35,0,2.35,0,10.51,0,3.31,0.67,0,84.25,0,0,15.49,7743.04,2.62,154.32,2.02,0,7.92,481.25,0,0,3.45,0,0,1488.04,0,0,17.33,0,9.34
 48-58,0.95,0,109.11,0,0,628.33,1.09,20.54,4.37,83.67,0,2.41,0.68,0,5.18,4.93,0.65,5.43,92.47,12.82,5.76,16.03,10549.88,7.04,98.49,7.11,0,0.61,244.84,0,0,12.98,0,2.82,1752.24,0,0,3.55,0,21.25
 60-70,2.92,0,98.62,2.69,0,1659.04,2.71,39.12,8.68,131.85,2.67,0,1.05,0,32.81,13.28,7.45,0.71,100.2,1.88,7.51,17.47,13669.77,5.22,92.62,7.58,0,0,144.99,0,0,1.17,0,0,1787.72,0,5.38,12.5,2.33,5.48
 72-82,6.97,0,69.51,5.12,0,2121.69,2.9,16.42,2.57,229.63,9.58,0,3.74,0,4.07,13.43,14.35,6.02,145.78,1.41,5.34,24.4,11174.9,0,156.78,20.74,0,3.01,92.52,0,0,1.2,3.99,0,1049.32,2.03,11.68,18.91,11.24,14.09
 84-94,19.81,0,109.62,8.02,0,1413.73,1.17,38.86,7.6,179.58,5.36,1.27,2.25,3.96,1,0.69,4.31,31.28,123.05,2.74,5.22,4.57,7624.61,5.81,105.15,12.73,0,4.73,191.83,0,0,3.83,0,0,794.02,4.98,1.7,7.45,2.06,8.77
 96-106,14.79,0,80.25,26.37,5.91,1147.28,0.78,13.51,2.93,124.23,16.65,0.78,2.7,12,0,2.61,36.26,0,97.92,7.07,8.98,16.96,5563.23,0,160.8,29.08,0,0,109.14,1.35,0,0,0,0,329.37,5.08,18.34,3.52,18,10.57
108-118,18.92,0,107.56,5.14,0,985.01,0,42.14,6.31,127.34,14.42,0.56,1.71,0.96,4.11,6.33,9.47,7.11,118.13,0,3.08,9.13,6645.41,0.41,91.85,21.35,0,8.84,102.25,0,0,1.37,0.69,0,228.43,6.26,3.45,11.48,10.07,4.4
120,38.58,0,156.39,19.16,13,1340.95,0,26.3,12.98,326.83,15.37,0,19.26,3.26,0,11.68,0,0,186.02,5.84,22.39,11.41,11871.41,0,136.58,60.65,0,0,96.95,0,0,6.05,1.63,0,457.78,1.37,7.15,25.67,31.51,0
