stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0.93,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0.86,0,0,0.98
 24-34,0,0,6.3,0,0,0,16.85,0,0,0,0,0,0,0,0,7.99,0,0,0.64,0,0.98,0,4.69
 36-46,0,0.58,21.06,0,0,0,47.36,0,0,0,0,0.59,0,0,0,17.87,0,0,0,0,0,0,2.34
 48-58,0,0,36.05,0,0,5.69,32.87,0,0,0,0,0.69,0,0,0,7.27,0,0,0,0,1.96,0,1.7
 60-70,0,3.24,17.67,0,0,33.74,46.79,0,0,0,0,0,0,0,0,1.83,0,0,0,0,1.45,0,9.27
 72-82,0,7.63,14.13,0.75,0,57.7,81.81,0,0,1.36,0,2.11,0,0,0.92,11.34,0,0,1.84,0,0,0,8.16
 84-94,1.73,4.86,24.21,0,1.55,37.96,120,0,0.62,0,0,0.68,0,0,0,2.48,0.62,0,0,0,0,0,11.43
 96-106,1.27,7.44,9.31,0,0,41.97,173.02,0.58,0,0,10.62,3.58,5.48,0,1.84,18.61,0,0.59,2.26,0,0,0.94,20.55
108-118,1.59,10.02,14.56,0,0.52,50.76,245.92,0,0,0,0,3.37,0,5.62,0,31.04,0,0.44,0,0,0,0,14.04
120,0,34.62,37.01,0,0,77.45,335.7,0,0,0,0,0,1.1,0,0,15.21,0,0,0,0,0,0,42.38
