stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.8,5.56,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,3.28,0,0,0,0,1.73,21.76,8.08,0,0,0,0,4.74,4.12,0,0,6.55,0,0,0,0,0,0
 24-34,0,0.67,1.92,0.83,0,4.36,12.93,0,0,0,0,0,0,0,0.7,0,0,0,0,0.64,0,0,1.68,17.49,0.62,0,1.53,0,0,8.04,0,0,2.55,2.05,4.15,0,0,0,0,0
 36-46,0,0,3.09,2.19,0,20.87,122.14,5.91,0,0.69,0,0,0,0,0,0,0.57,0,15.38,1.35,0.72,0,1.32,32.3,1.74,0,0,0,0,10.78,0,0,2.47,0,4.41,0,0,9.62,0,0
 48-58,0,0,6.47,1.62,0,35.08,253.56,0.47,0,6.52,0,0,0,0,0.37,0,0,0,36.24,16.79,0,0,20.74,150.07,0.63,0.81,0,0,0,5.78,0,0,0,0,18.78,0,0,3.13,0,4.08
 60-70,0,0,6.8,15.61,0,55.32,235.51,0,1.61,2.65,0,0,0,1.47,0,3.47,0,0,71.71,19.75,0,0,43.17,76.42,0,0,0,5.14,0,6.74,0,0,0,0,6.77,0,0.56,0,0,11.22
 72-82,0,0,1.51,40.83,0,69.83,187.72,1.79,6.69,9.66,0,0.6,0,0,1.14,29.85,1.33,8.93,54.7,53.5,0,6.32,13.42,85.9,2.81,0,0,0,0,5.07,0,0,1.05,0,16.25,0.51,0,6.8,0,0
 84-94,1.33,0,7.37,65.4,0,59.67,343.22,0,0,8.66,0,0,0,0,0,6.15,0,6.7,176.16,40.22,0,4.51,12.47,75.37,5.72,0,5.24,0,0,41.99,0,0,0,0,10.08,0,0,4.79,3.05,1.57
 96-106,0,0,8.71,80.93,0,160.95,721.72,2.5,8.14,24.31,4.28,0,3.24,8.38,4.14,15.88,4.32,24.15,55.42,95.6,6.19,2.49,18.44,176.24,0,2.55,0,0,0,35.55,0,1.88,1.48,0,19.94,3.62,0,5.31,4.21,26.01
108-118,0,0,10.82,36.7,4.82,136.1,595.89,0.98,4.07,16.96,0,0,0,10.5,0,6.89,0,24.2,83.28,79.16,1.15,0,61.79,181.54,0,0,2.79,0,1.08,34.02,0,1.32,0,0,17.23,0,0,9.72,9.02,33.65
120,0,0,14.95,49.32,0,74.14,367.67,1.11,0,15.89,1.92,0,1.15,10.18,2.56,35.52,0,4.14,45.25,146.76,0,6.21,32.89,121.81,17.87,0,0,0,0,5.92,0,0,0,0,4.72,0,0,6.05,0,25.92
