stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,38.28,78.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,326.87,610.32,0,0,0,0,0,0,0,0,11.49,0,0,0,0,6.22,71.41,0,0,57.37,0,0,0,0,0,0
  7-9,766.91,36.86,29.22,0,0,0,0,0,0,0,21.61,0,0,0,0,391.67,702.66,0,0,1793.14,4.34,0,0,0,0,0
 10-12,0,28.65,97.41,0,0,0,0,0,0,0,4.29,0,0,0,0,189.03,185.72,0,0,661.47,0,0,210.5,0,0,0
 14-21,0,0,0,8.14,41.97,0,0,0,0,0,0,0,5.44,0,1.85,6.23,161.62,0,0,240.66,0,43.14,0,7.55,22.28,0
 24-34,0,0,0,1.11,2.42,0,0,1.71,0,0,0,0,0,0,1.02,10.58,21.03,0,0,0,0,0,0,7.15,11.29,0.79
 36-46,0,0,0,0,0,0,0,8.87,0,0,0,0,1.64,1.26,0,14.89,51.57,0,0,0,0,0,0,0,13.42,0
 48-58,1.15,0,0,0,0,0.51,0,1.43,0,0,0.75,0,1.89,0,0,13.84,56.61,0.94,0,0,0,0,0,0,2.55,0
 60-70,0,0,0,0,0,1.49,0,0.76,3.2,0,0,1.13,4.88,0,0,8.57,57.11,0,0,0,0,0,0,0,0.67,0
 72-82,0,0,0,0,0,10.44,0,6.44,0,0,0,0,0,0,0,16.24,58.66,0,0,0,0,0,0,0,0,0
 84-94,0.62,0,0,2.03,0,8.07,0,1.03,0,0,0,0,1.01,0,0,20.46,124.58,1.84,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,6.6,0.65,0,0,0,0,0,4.22,0,1.78,21.16,46.1,0,1.87,0,0,0,0,0,2.51,1.02
108-118,0,0,0,0.52,0,4.82,0,0,0.68,0.59,0,0,1.4,0,0,10.75,130.71,2.71,0,0,0,0,0,0,1.96,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.58,154.2,0,0,0,0,0,0,0,0,0
