stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,12.09,260.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,331.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.53,4.32,0,0,0,11.16,0,0,0,0,0,0,0,0,0,92.31,15.35,0,0,20.73,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,162.66,0,0,0,86.32,0,0,9.42,0,7.46,0,0,0
 14-21,0,0,0.83,0.95,0,1.59,0,0,0,0,0,0,0,0,1.26,3.43,0,1.04,0,0,0,1.86,0.91,0,2.45,5,0,0
 24-34,0,0,0,0.61,0,3.3,0,0,0,0,0.99,0,3.96,0,2.35,31.24,0,3.79,0,0,0,0,1.09,0.61,1.51,22.1,0,0
 36-46,0,0,0,0.77,0,11.5,0,0.6,0,0,0,0,2.42,0.55,0,80.02,0,0.79,0,0,0,0,0,4.85,0,31.75,0,0
 48-58,0,0,0,1.21,0,32.63,0,0.45,2.57,0,0,0,3.99,0.84,0.54,145.53,0,0,0.64,0,0,0,0,0,0,26.88,3.63,0
 60-70,0,0,0,5.39,0,90.61,1.03,0.86,1.98,0.6,0,0,6,1.36,0,181.27,0,0,0,0,0,0,0,0.63,0,38.28,0,0
 72-82,0,0,0,0,0,196.14,0,1.87,8.79,0,0,0,6.04,0,0.51,221.33,0,0.77,0.71,0,0.57,0,0,0,0,14.63,0,0
 84-94,0,0,0,0,5.48,129.11,0,0.91,8.09,0,0,0,8.53,1.05,3.12,165.46,0,0,1.18,0,0.87,0,0,0,0,24.28,0.78,1.06
 96-106,0,0,0,6.92,0,224.44,0,0,10.13,0,0,2.22,10.76,0,0,169.81,0,0,0,0,0.72,0,0,0,0,1.81,0,3.01
108-118,0,0,0,3.04,0,222.42,0,0.8,10.5,0,0,0,10.29,0,0.56,149.81,0,0,0,0,0,0,0,3.63,0,16.52,0,0
120,0,0,0,9.45,0,175.5,0,19.12,17.73,3.17,1.45,0,11.66,10.79,1.13,292.97,0,0,0,0,1.11,0,0,0,0,44.46,0,0
