stage,epidermis,eye,glial,ionocyte,mesenchyme,mucous,neural,olfactory,pronephros,spinal_cord
 10-12,0,0,0,0,0,0,27.07,0,0,0
 14-21,0,0,0,0.8,0,0,1.91,0,0,0
 24-34,0,0,0,0,1.01,0,0,0,0.7,0
 36-46,0,0,0,0,0,0,9.59,0,2.65,0.69
 48-58,0,0.51,0,0,0,0,10.68,0,0,0
 60-70,2.17,0.92,0,0,1.55,1.53,3.55,0,0,0
 72-82,0,1.34,0,0,1.79,0,1.61,0,0,0.79
 84-94,0,0,0,0,0,0,2.4,0.89,2.18,0
 96-106,0,0,0,0,0,0,3.67,1.91,0,0
108-118,0,0,2.12,0,0,0,1.74,0,0,0
120,0,0,0,0,0,0,1.19,0,0,0
