stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.6,472.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.82,548.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,13.05,0,20.23,0,0,0,56.69,0,0,0,0,0,20.04,0,0,0,0,0,0,0,0,0,0,387.32,22.98,0,0,114.14,0,0,28.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.72,0,13.36,0,10.6,0,51.14,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,319.85,0,0,0,187.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.28,5.7,0.85,0,8.9,0,0,0,2.09,1.58,0,0,0,0,0,0,0,0,6.6,0,13.67,121.93,0.88,0.95,1.14,4.82,0,10.77,0,27.06,1,0,7.23,48.03,0,0,0,0,0
 24-34,0,0,0,0.64,4.08,0,0,19.94,0,0,0,4.26,0,0,0,0,0,0,0,0,0,16.1,0,2.38,191.46,0,2.28,1.25,0,0,5.16,0,0,0,0,2.57,76.81,0,0,3.46,0,0
 36-46,0,0,0,0,0,0,0,57.97,0,0,0,5.27,0,0,0,0,0,0,0,1.14,0,12.21,1.73,2.1,171.58,0,1.55,0.65,0,0,14.66,0,0,1.06,0,0,65.64,0,0,1.99,0,0
 48-58,0,0,0,0,4.32,0,0,137,0,0,0.86,16.47,0,0,0,0,0,0,0,2.56,0,20.18,5.39,2.81,150.93,0,0.5,1.06,0,0,0.84,0,0,0,0.73,0,42.03,0,0,2.38,0,0
 60-70,0,0,0,0,0,3.32,0,160.55,0,2.25,0,15.27,0,0,0,0,0,0,0,0,0,19.01,0,0.71,84.8,0.66,1.42,0,0,0,0,0,0,0,0,0,5.63,0,0,2.1,0,0
 72-82,0,0,0,0,0,0,0,76.52,1.37,1.94,0,8.64,0,0,0,0.67,0,0,0,0,0,26.71,2.57,1.4,71.13,0,2.25,0,0,0,3.4,0,0,0,0,0,10.54,0,0,1.64,2.08,4.97
 84-94,0,0,0,0,3.8,6.76,0,72.18,0,0.56,0.94,16.42,0.71,0,0,0,0,0.75,0,0,0,24.74,2.38,3.63,59.55,0,0,3.39,0,0,9.32,0,0,0,0,0,2.46,0.57,0,0.92,0,0
 96-106,0,0,0.91,0,1.32,0.86,0.8,43.1,0,3.15,0,6.83,3.99,0,0,1.14,0,0,0,11.09,0,24.44,0,0,41.79,0,2.23,1.37,0,4.36,5.63,0,0,0,0,0,0,0,0.89,0.69,2.1,0
108-118,0,0,0.8,0,2.83,1.91,0,41.42,0,1.46,0.88,14.18,0,0,0.71,0,0,0,1.07,0,0.55,18.53,0.94,7.19,69.96,0,1.43,1.2,0,0,11.02,0,0,1.41,0,0,0,0.43,0,1.67,0,0.83
120,0,0,0,0,5.83,1.49,0,61.7,0,1.22,0,19.71,0,0,0,0,2.43,0,1.11,0,0,7.02,0,0,89.2,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,5.74,0,0
