stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.02,0,3.54,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,38.11,9,8.8,0,3.28,0,0,0,0,0,0,0,0,0
 10-12,7.59,0,0,0,0,14.32,0,0,0,0,0,0,0,0,0,0,0,0,39.55,9.53,16.39,0,0,8.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.16,1.07,0.95,0,0,0,0,0,0,0,0,0,7.66,0,1.84,0,0,0,0,2.62,0,0,2.35,0.94,0,0,0.81,0,0
 24-34,0,0,0,1.12,2.13,0,0,0,0,0,0,1.45,1.74,0,0,22.83,0,13.83,6.67,0,0,0,1.4,0,0.88,1.28,0,0,0,23,0,0
 36-46,0,0,0,0,0,1.59,0,0,0.6,0,0,12.48,2.84,1.95,0,38.97,1.12,10,0.69,0,0,0,1.57,0,0,0,2.65,0,0.85,39.75,0,0
 48-58,0,0,0,0,0,4.52,0,0,0,0,0,5.65,12.23,0,0,33.31,0,10.42,28.68,0,0,0.61,0.53,0,0,0,0.81,0,0.44,65.52,0,0.5
 60-70,0,0,0,1.13,0,2.42,0,0,1.71,0,0,4.04,21.84,0,1.2,73.03,9.13,6.95,22.07,0,0,0,0,0,0,0,0,0,1.47,79.36,0.81,6.89
 72-82,0,0,0,2.14,0,7.31,0,0,4.4,0.86,2.21,5.14,8.64,3.21,0,151.66,4.33,17.7,5.22,0,0,7.92,0,0,0,0,0,0,9.48,136.05,8.1,0
 84-94,0,0,0,0,0,7.11,0,0,3.24,0,0,1.44,26.73,0,3.63,108.04,10.43,6.5,20.4,0,0,4.78,0,0,0,0,0,0,10.76,88.64,8.86,0
 96-106,0,0,0,0,1.27,11.9,0,1,8.82,1.22,0,18.1,23.21,0,7.69,194.66,15.94,6.91,11.38,0,0,17.03,3.06,0,0,0,3.78,0,9.11,177.66,19.04,0
108-118,0,0,0,0.42,2.65,5.01,2.37,0,4.83,0,0.73,1.99,26.5,0,1.84,256.54,3.17,6.34,16.87,0,0,27.98,2.65,0,0,0,0.72,2.01,1.1,110.87,21,0
120,0,0,0,1.33,2.93,5.92,0,0,10.34,2.01,0,4.26,53.18,0,0,403.73,14.93,1.9,16.66,5.19,0,62.03,11.87,0,0,0,0,0,17.14,165.27,40.35,0
