stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0
  7-9,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.22,0,0.87,0,0,0.97,0,0,0,0,0,0,0,2.97,23.46,0,3.47,0.94,0,0,0,0,2.2,12.93,0,0,0
 24-34,0,0,0,0,0,7.07,0,0,0,0,0.64,0,0.68,0,0,0,0.6,134.74,0,0,66.66,0,1.81,0,0,0.64,37.94,0,1.01,0
 36-46,0,0.94,0,0,0,31.72,0,3.27,0,0,0,0,7.25,0.78,0,0,6.15,263.64,3.37,0.65,86.93,0,0,0.86,0,0,54.96,0,4.62,0
 48-58,0,0,0,2.2,0,68.45,0.44,10.18,0,0,0,0,1.95,3.92,0,0,0.82,322.43,0,1.21,70.21,0,0,0,0.9,0,58,0.44,0,0
 60-70,0,0,0,0,0,74.44,0,2.76,0,0,0,0,9.08,6.73,0,5.29,0,341.13,0,0,134.07,0,0,0,0,0,25.39,0,0.79,0
 72-82,0,0,0,1.03,4.97,28.78,1.57,10.85,0,0.58,0,0,25.74,22.95,0,0,1.86,267.89,0,0,190.65,0,0,0,0,0,15.01,0,0,0
 84-94,0,2.24,0,0,1.14,33.86,0,6.03,0.62,0,0,0.67,32.23,7.88,0,0.58,0,189.69,0,0,400.19,1.49,1.74,0,0,0,27.95,0,2.07,0
 96-106,0,0,0,0.74,0,23.02,0,1.22,0,0.66,1.25,0,108.21,6.27,3.53,0,0.68,115.2,0.64,1.08,406.29,0,1.31,0,0,0,1.5,0,0,16.51
108-118,0,0,0,0.42,1.19,21.99,0,2.41,0,1.3,0.8,0,63.91,2.68,0,0,3.77,156.92,0,1.06,378.69,0,1.82,0,0,0,1.59,0,0,0
120,0,0,0,0,3.18,19.78,0,2.6,0,10.99,0,0,71.2,0,0,15.38,0,145.9,0,3.8,476.91,0,0,2.12,0,0,0,0,0,0
