stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,175.56,3562.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.21,0,0,0,0,0,0
  5-6,140.3,2833.26,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.55,0,0,0,7.9,56.2,0,0,0,0,0,0
  7-9,40.94,34.41,0,20.54,0,0,0,146.16,0,0,3.56,0,0,0,0,0,0,0,975.57,42.48,0,0,269.9,8.62,27.7,0,0,0,0,0
 10-12,0,4.14,0,10.36,0,0,0,79.41,0,0,13.27,0,0,0,0,0,0,0,413.48,0,0,0,85.27,0,5.47,0,7.73,0,0,0
 14-21,0,0,0,1.33,0.83,1.2,0,0,1.1,0,0,0,0,0,6.64,0,0,0,30.94,2.36,0,0,0,0,1.23,3.14,0,4.07,5.68,0
 24-34,0,0,0,0,0,2.86,0,1.62,0,0,0,0,0,0,0,0,0,0,48.7,0,0,0.73,0,0,0,0,0,0,10.87,0
 36-46,0,0,0,0,0.6,0,0,12.8,2.66,0,0,0,0,0,0,2.16,0,0,25.12,0,0,0,0,0,0.81,0,0,0,2.17,0
 48-58,0,0,0.44,0,0,0,0,40.68,0.95,0,0,0,0,0,1.54,0.43,0.4,0,25.69,0,1.69,0,0,0,0,0,0,0,1.13,0
 60-70,0,0,0,0,0,0,0,19.45,6.21,0,0,0.81,0,0,1.83,0,0,1.21,17.54,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.54,0,0,20.91,3.24,0.66,0,0,0,0,0,0,0,0,16.93,0,0.81,0,0,0,0,0,0,0,0.62,0
 84-94,0,0,0,0,0,0,0,7.16,0.72,0,0,1.54,0,0,0,5.11,0,0.68,0.82,0,0,0,0,0,0,0,0,0,1.33,1.18
 96-106,0,0,0,0,0,0,0,6.12,0,0,0,0.6,0,0,0,1.07,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.74,0,0,2.57,1.34,2.81,0,0,0,0.81,0.45,0,0,0,0.46,4.28,0,0,0,0,0,0,0,0.48,0,0,0
120,0,0,0,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0
