stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,7.04,25.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,31.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,5.26,0,0,5.97,0,8.45,0,0,0,0,0
 14-21,0,0,0,0,0.85,1.44,0.81,0,0,0.84,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,1.81,0,0,0
 24-34,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,1.28,0,0,12.35,0,0,0,0,0,0.8,0.89,0,0,0
 36-46,0,0,0,0,0,0,10.17,0,0,0,0.72,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,1.12,0,0,0
 48-58,0,0,0,0,0.46,0,1.35,0.4,2.98,0,0,0,0,0,0,1.95,0,0,12.79,0,0,0,0,0,0,1.92,0,0,0
 60-70,0,0,0,0,0,0,3.05,0,0,4.37,0,0,0,0,0,0,0,0,11.95,0,0,0,0,0,0,2.15,0,0,0
 72-82,0,0,0,0,2.5,0,7.55,0,0.51,4.24,0.66,0,0,0.53,1.04,5.05,0,0,5.57,0,0,0,0,0,0,0.54,0.57,4.95,1.26
 84-94,0,0,0.56,0,0,5.36,0,0,0,1.73,1.38,0,0,0,1.57,7.41,2.25,0,13.97,0,0,0,0,0,0,2.72,0,0,0
 96-106,0,0,0,0,4.63,0,1.95,0.56,0,5.58,9.66,0,0,0,3.6,4.98,0,0,13.95,0.77,0,0,1.29,0,0,0,0,1.49,0
108-118,0,0,0,0.61,6.03,1.21,6.91,0,2.14,2.4,11.85,0,0.54,0,22.21,4.68,0,1.1,5.99,0,0.67,0,0,0,0,1.1,1.44,1.71,0
120,0,0,2.52,0,3.59,0,7.33,0,0,0,39.85,0,0,0,30.68,33.49,0,0,14.42,0,0,0,0,0,0,9.77,6.37,0,0
