stage,blastomeres,epidermis,eye,glial,gut,heart,mesenchyme,neural,olfactory,otic,periderm,pgc,spinal_cord
  3-4,37.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.95,0
 24-34,0,1.09,0,0,0,0,0,1.77,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.12,1.63,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.85,0,0,0,0,0
 60-70,0,0,0,0.86,0,0,0,2.89,0,0,0,0,0.64
 72-82,0,0,0,0.58,0,0,0,3.94,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,13.15,0,0,2.07,0,0
 96-106,0,0,1.48,0,0.71,0,0,0,1.09,0,0.79,0,0
108-118,0,0,0,2.04,0,0.71,0,0,0.43,1.21,0,0,0
120,0,0,5.4,0,0,0,0,0,0,0,0,0,0
