stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.98,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.35,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.58,0,0,0,14.02,0,0,0,4.19,0,0,0,0,0,0,0
 14-21,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,174.35,0,2.91,0,0,0,0,0,0,0,0.83,45.15,0,0,0,0
 24-34,0,2.58,0,10.8,0,8.47,0,0,0,3.28,0,0,0,0,0,0,0,0,5.34,0,0,2.49,931.22,0,32.21,0,0,0,0.77,0,0,10.03,0,170.71,0,0,0.65,0
 36-46,0,0,0,2.88,0,32.3,0,0,0,29.76,0,1.64,0,0,0,0,0,4.68,2.8,0,0,1.87,1514.83,0,13.48,0.99,0,0,13.2,0,0,0.56,0,279.13,0,0,0,0
 48-58,0,0.54,0,4.1,0,132.03,2.15,3.76,0,89.07,0,0,0,0.55,0,0,0,0,16.79,0,0.54,0.67,1512.92,0,19.3,0.41,0,0,0,0,0,0.73,0,230.44,0,0,3.41,8
 60-70,0,0,0,1.84,0,351.7,0,2.33,0,94.53,0.62,0,0.65,0.61,0,0.63,7.89,0,6.42,0,0,0,1532.17,0,9.16,0,0,0,0.64,0,0,0,0,215.68,0,1.9,0.87,3.42
 72-82,0,3.55,0,5.39,1.99,673.47,3.39,0,0,76.18,6.05,0,2.08,0,0.57,0,0,0,29.25,1.52,0,4.58,1437.4,3.83,28.3,0,0,0,3.4,0,0,0,0,133.43,3.65,0,0,0
 84-94,0,1.22,0,5.83,0.66,367.6,0,7.37,0,40.2,2.96,0,7.02,1.49,2.34,0,0,0,12.24,0,4.21,4.68,1044.33,0,7.74,0,0,0,3.32,0,0,0,0,61.22,4.71,0,0,8.89
 96-106,0,4.77,0,7.83,16.74,509.93,0,0,0.93,63.27,7.51,0,4.87,0,0,0,0,0,40.34,0.71,2.28,3.18,864.19,0,20.33,0,0,2.01,0.96,2.06,0,0.67,0,32.29,2.66,0,1.87,0
108-118,0,2.27,0,16.94,2.59,364.73,0,0,0,48.41,11.51,0,2.93,0,0.43,0,1.84,0,12.43,0,0,0,1072.01,0.45,13.19,0,0,2.99,4.86,0,0,0,0,34.27,4.62,0,0.97,5.98
120,0,0,0,0,1,428.4,19.31,2.07,0,109.63,28.64,0,1.42,0,0,0,11.83,0,38.75,13.61,0,4.52,1586.71,3.99,17.43,1.76,0,0,1.57,0,0,0,0,55.28,0,0,0,0
