stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,periderm,somites,spinal_cord
  3-4,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0
 10-12,0,0,6.1,0,0,0,0,0,0,0,0,0,7.96,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.35,21.2,0.95,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.62,5.7,105.99,0,1.01
 36-46,0,0,0,7.35,1.57,1.3,0,0,0,0.99,0,0,1.36,100.04,0,0.92
 48-58,0,0,0,0,1.36,1.35,0,0,0,2.36,0,0,1.24,80.9,0,0
 60-70,0,0,0,0,0.81,0,0.79,0,1.91,0,2.49,0,0,66.84,0,0
 72-82,0,0,0,0,0,0,0,0.93,0,0,0,0,0,38.94,0,0
 84-94,0,0,0,0,0,0.66,0,0,0,0,0,0,3.29,81.83,0,6.7
 96-106,0,0,0,0,0,0.77,0,1.14,0,0,0,0,0,94.95,0,0
108-118,0,0,0,0.59,0,0.52,0,0.98,0,0,0,0,0,57.93,0,0
120,0,0,0,0,0,0,0,4.07,0,0,2.93,0,0,96.73,0,0
