stage,blastomeres,epidermis,eye,fin_epithelia,glial,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,22.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.72,5.8,2.25,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,2.05,7.46,0,0.48,0
 60-70,0,0,1.67,0,0,0,0,0,0,0,0,0,25.02,0,0.66,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,8.81,71.93,0,0,0
 84-94,0,0,4.33,0,0,0,0,0.74,0,0,0,3.1,111.02,0,0,0
 96-106,0,0,2.92,0.96,1.67,0.58,12.77,2.83,0.83,0,0,17.78,215.4,0,0,3.97
108-118,0,1.22,0,0.55,0,1.33,0,2.31,1.24,1.35,0,17.98,210.61,0,0,0
120,0,1.16,0,1.31,0,0,0,0,2.05,0,0,15.88,165.9,0,2.14,0
