stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,245.27,3883.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.47,0,0,0,0,0,0,0,0,0,0,0
  5-6,273.73,3119.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.32,0,0,0,0,20.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.85,0,4.55,0,0,0,0,0,0,0,0,0,18.11,0,0,0,0,0,0,0,0,0,0,0,179.55,0,0,0,104.19,0,6.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.84,0,17.86,0,0,0,4.37,0,0,0,0,0,228.52,0,0,0,0,0,0,0,0,0,0,0,363.54,10.85,0,0,184.35,0,0,0,75.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.22,43.81,184.97,0,0.99,0,0,0,5.78,7.75,59.47,0,0,0,0,0,1.19,1.08,27.21,0,0,14.82,36.62,0.89,0,0,0,5.81,1.81,13.53,2.67,5.59,54.97,31.3,0,0,0.96,0,1.85
 24-34,0,0,0.6,2.46,4.87,49.24,0,8.09,17.52,1,0,3.74,5.37,13.81,0,0,1.38,0,0,0,0.95,16.84,5.29,0,9.1,57.31,0,2.9,3.22,0,0.75,0,0,12.86,1.52,2.32,20.58,0,0,5.09,0,3.54
 36-46,0,0,0,0,0,2.22,0,2.4,0,0,0,21.03,4.54,1.08,0.88,0,0,0,0,0,0,2.46,12.28,0.98,1.33,56.36,0,4.6,0.67,0,3.52,0,0,10.34,0,0,5.57,0,0,0.87,0,1.36
 48-58,0,0,1.05,0,0.39,0.77,0,19.11,0,0,0.41,139.72,0,3.16,0,0,0,0,0,7.91,1.66,4.64,24.94,0,0.47,78.84,0,2.8,0,0,3.38,0,0,1.06,0,0,46.05,0,0,4.41,0,0
 60-70,0,0,1.46,0,4.27,0,0,52.04,1.17,1.49,0,304.49,2.29,1.56,0.87,0,0,0,0,5.16,0,17,29.47,0,0,31.96,2.55,0,1.59,0,0,0,0,2.27,0,0,29.27,0.61,0,0,0,0
 72-82,0,0,5.37,0,5.72,1.34,0,59.3,0,0,0,431.16,8.94,1.23,0,1.07,1.16,0,2.99,9.19,0,40.25,55.53,1.39,0,70.05,0,0,9.09,0,0,0,0,1.87,0,0,36.03,5.74,2.22,0.71,0,0
 84-94,0,0,8.67,0,4.01,5.89,0.6,47.65,0,0,0,287.72,11.49,7.21,0,0.88,2.62,0.62,2.23,0,0,50.63,52.39,0,0,56.55,0,6.51,5.52,0,10.48,0,0,6.41,0,0,4.2,11.54,2.64,0.92,2.61,0
 96-106,0,0,6.94,0,10.25,5.83,4.85,23.83,0,0.66,0,308.97,37.47,1.06,0,1.38,0,0,2.21,8.73,0,33.95,97.41,0,1.84,37.87,0,8.68,4.76,0,2.84,0,0,0,0,0,6.81,9.35,1.22,1.45,0,0
108-118,0,0,11.95,0,14.15,0.74,17.72,40.15,3.03,0.53,0.62,297.39,48.53,0,0.8,3.76,1.1,0,1.63,2.11,0,22.21,86.44,0,0,46.24,0,1.67,14.95,0,0.51,0,0,1.45,0,0,10.79,7.29,0,0,0,4.66
120,0,0,13.69,0,4.23,0,0,50.79,0,0,0,335.08,32.01,0,2.09,5.92,2.78,0,1.34,0,0,13.66,32.99,0,0,50.03,0,1.49,3.95,0,0,0,0,0,0,0,16.34,4.38,0,0,0,0
