stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature
  3-4,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.36,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,19.73,0,0,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0.84,1.31,4.26,0,0,0.85,2.37,0,0
 24-34,0,0,0.61,0,1.42,0,0,0,0,0,0,4.46,1.62,0,0,3.71,0,1.69
 36-46,0,0,0,0,0,0,0.58,0,0.79,0,0.93,40.28,0,0,0,1.49,0,0
 48-58,0,0,0,0,6.27,0.56,0,0,0,0.87,0,11.58,0,0,0,1.25,0,0
 60-70,0,0.86,1.1,0,5.37,0,0.99,0,0,0,0,5.28,0,0,0,1.78,0,0
 72-82,0,0,0,0,10.8,0.85,0,0,0,0,0,1.14,0,0,0,0,0,0
 84-94,0,0,1.03,0.75,2.16,0,0,0,0,0,0,7.03,0,0,0,0,0,0
 96-106,0,0,0,0,6.54,0,0,0.95,0,1.28,0,2.72,0,3.89,0,0,0,0
108-118,0,0,0,0,4,4.86,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,12.58,0,0,0,8.82,0,10.41,0,0,0,0,5.48,0
