stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,73.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.91,8.22,0,0,34.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.59,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.46,9.28,0,0,13.38,0,0,0,4.97,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,62.22,0,0,0,0,0,1.38,1.9,0,0.85,0,0,0,0,0,0,4.06,0,0,3.64,32.95,0,0,0,0,0,0,0,6.32,0.95,11.16,0,0,1.54,0,0
 24-34,0,0,0,3.15,0.77,66.68,0,5.41,0,0,0,5.98,0.71,0,3.5,0,0,0,0.82,0,1.19,34.15,0,0.91,9.37,182.96,0,3.25,1.63,0,0,0,0,8.41,1.6,47.65,0,0,46.17,0,0
 36-46,0,0,0,0,0.65,34.41,0,45.63,0,2.71,0,10.24,0.66,0,19.17,0,0,0,2.55,0,0,96.75,0,5.5,24.81,405.47,0,5.32,10.12,0,0,0,0,2.05,0,104.41,0,0,65.41,0,3.36
 48-58,0.39,0,0.42,0,7.35,22.26,0,330.95,0,0,0.58,32.17,0,0,23.46,0,0,0,0.69,0,1.95,178.29,0,10.02,46.56,633.43,4.95,2.12,13.91,0,3.11,0,0,0,0,134.7,0,0.82,76.37,0,6.84
 60-70,0,0,0,0,18.17,12.67,0,1427.88,1.08,7.98,1.94,34.44,5.45,9.59,30.18,0.65,10.18,0,0,2.26,5.46,389.19,4.64,42.54,39.48,1116.04,0,0,26.53,0,11.25,0,0,1.35,0,186.19,0,19.84,97.93,1.41,1.44
 72-82,0,0,0,0,33.4,70.23,2.08,1085.71,2.85,4.8,1.75,90.4,19.77,0,40.14,0.49,0,3.32,3.41,0.62,0,480.88,3.16,73.36,42.96,1174.71,1,3.99,32.79,0,5.31,2.17,6.61,0,0,155.24,0,27.61,145.28,8.32,15.79
 84-94,0,0,6.67,0,59.4,70.39,2.95,849.19,0,7.95,6.25,99.13,17.38,0,30.6,1.4,0.69,0.74,4.85,5.95,11.34,453.3,3.69,89.33,40.69,955.36,0.69,6.89,29.94,0,13.56,2.73,0,3.53,0,92.63,0,38.62,163.69,27.91,0
 96-106,0,0,0.81,0,32.85,73.63,1.69,834.76,3.09,4.33,7.25,147.26,26.08,0,27.99,2.46,1.23,0.75,2.65,28.01,14.09,428.17,17.19,51.62,17.81,757.98,0,1.84,71.37,0,25.42,41.28,9.99,0,0,25.63,0,39.28,151.57,17.8,13.63
108-118,0,0,0.62,0,31.42,69.79,14.8,587.26,0,1.59,1.89,120.62,25.61,0,20.33,3.1,1.11,1.65,3.23,5.02,12.06,528.56,15.04,59,31.04,990.8,0.44,2.04,70.81,0,21.73,13.86,0,3.08,0,36.92,2.17,35.04,105.22,18.1,0
120,0,0,0,0,64.61,22.13,19,547.81,0,1.42,0,212.41,6.93,0,36.64,0,1.77,11.74,2.6,10.27,1.51,394.93,19.11,59.31,28.55,1415.83,0,0,52.9,0,29.79,8.13,0,1.02,0,76.16,0,14.93,170.96,27.63,0
