stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,76.73,1568.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.72,1834.85,0,0,0,0,0,0,0,0,0,0,35.41,0,0,0,0,0,0,0,0,0,0,0,93.8,6.07,0,0,27.4,0,63.53,0,0,0,0,0,0,0,0,0,0
  7-9,54.04,96.71,67.86,0,0,0,271.84,0,0,0,0,0,85.74,0,0,0,0,0,0,0,0,0,0,0,1613.34,30.92,0,0,700.15,0,7.06,17.93,0,0,0,0,0,0,0,0,0
 10-12,0,85.44,177.91,0,15.99,0,134.87,0,0,0,0,0,40.44,0,0,0,0,0,0,0,0,0,0,0,2117.3,33.68,0,0,732.95,0,8.54,26.94,19.24,106.25,12.11,7.83,0,0,0,0,0
 14-21,0,0,4.95,104.18,27.8,0,47.95,0,0,0,11.26,3.47,1.19,0,1.88,2.56,0,0,0,0,42.19,0,0,65.81,709.89,11.02,2.74,9.93,18.04,0,48,1.23,103.06,9.03,78.99,178.52,0,0,4.98,0,0
 24-34,0,0,4.79,47.39,27.54,0,187.41,0,0,0,22.32,1.61,1.82,3.29,7.41,1.46,1.91,3.67,1.44,0,178.22,0.6,0,80.37,1598.21,18.54,8.36,8.48,0,0,96.26,0,0,2.39,10.73,375.7,0,0,27.09,0,16.47
 36-46,0,0,2.12,33.36,14.27,0,559.78,0,3.81,3.7,46.87,1.14,0,14.14,13.73,0,4.12,0.6,0,10.94,215.18,2.68,4.08,66.51,1787.6,5.94,3.68,23.98,0,0,47.99,0,0,3.47,0,385,0,0,13.92,0,16.2
 48-58,0,0,0,29.24,8.84,0,619.27,1.34,0,1.2,33.49,0.54,0,6.36,4.48,0,3.42,2.82,0.48,6.16,172.56,0,9.56,37.25,704.54,6.38,1.13,5.47,0,0.39,11.14,0,0,1.76,0,120.73,0,0,12.69,0,8.19
 60-70,0,0,0,35.79,2.28,0,596.61,0,1.77,0.96,77.18,2.75,0,0.84,1.28,0,10.75,4.2,1.78,0,156.82,0.74,13.06,26.75,414.83,3.03,0,13,0,2.15,11.6,0,0,0.6,0,18.07,0,0,21.21,0,2.41
 72-82,0,0,0,14.09,4.41,1.86,142.63,0,0,4.35,41.46,13.02,0,3.82,6.67,0.84,0,0,0,0,103.05,0,4.99,15.83,181.61,1.39,2.76,3.46,0,0,10.49,0,0,1.43,0,16.87,1.93,0,26.88,0,2.23
 84-94,0,0,0,23,6.31,0,148.98,0,0,1.43,19.47,5.53,0,2.62,12.05,0.89,7.36,0.84,2.11,0,86.72,0,13.69,17.66,178.37,3.55,0.7,3.23,0,1.01,11.22,0,0,2.53,0,1.98,2.3,0.84,21.06,0.77,3
 96-106,0,0,0,24.73,3.96,0.57,120.27,0,1.81,0.99,31.6,8.01,0,3.06,10.34,1.87,0.72,0.71,10.19,0,51.92,0,4.38,11.84,161.13,3.19,3.94,3.09,0,0,7.48,0,0,1.97,0,1.78,0,1.26,29.86,0,3.3
108-118,0,0,0,15.47,9.45,0,95.57,0,0.95,0,36.67,5.36,0,2.76,11.47,0,4.51,0,0,0,38.96,0,1.59,20.55,158.63,2.58,2.44,2.03,0,1.6,17.98,0,0,2.89,0,1.39,0.86,0,13.88,0,0
120,0,0,1.28,12.53,25.43,0,142.02,0,0,0,38.77,1.28,0,0,19.41,0,2.23,0,1.37,0,50.53,0,2.76,2.55,189.05,0,0,1.43,0,0,9.42,0,0,0,0,0,1.27,0,14.61,0,0
