stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,pericytes,pronephros,spinal_cord,xanthophores
 10-12,0,30.68,0,0,0,0,0,0,0,0,0,0,0,0,0,42.56,0,0,0,0
 14-21,0,29.25,6.81,0,4.87,0,0,2.6,0,0,76.98,1.63,0,0,0,0.81,0,8.79,5.02,0
 24-34,1.91,11.5,0.92,0,10.71,0,0,4.31,0,0,41.6,2.1,0,0,4.69,0,0,3.25,0.93,0
 36-46,0,2.68,7.08,0,33.42,0,0,5.73,0,0,43.63,8.26,0,2.92,0,4.47,0,0.59,2.4,0
 48-58,0,0,6.67,0,82.92,0,0.45,5.76,0.44,0,13.73,2.84,0,0,1.02,1.9,0,0,2.55,0
 60-70,0,0,0,0,102.58,1.77,0,0,0,0,28.53,6.23,0,0,0,12.1,0.71,0,0,6.94
 72-82,1.44,0,1.03,0,64.07,0,12.98,1.96,0,0,28.46,1.83,0,1.62,1,12.94,0,1.55,0,6
 84-94,0,0,2.23,0,73.16,0,0,6.56,0,0,17.27,15.51,0,0.72,0,4.23,0,2.83,0,0
 96-106,0,0,0,9.19,86.43,0,1.46,10.99,0,0,44.03,2.45,1.42,0,1.13,25.59,0,0.62,0,0
108-118,0,0,0.43,0,115.69,0,1.25,16.9,0,0.43,49.84,2.75,0,0,0,14.86,0,1.56,0,0
120,0,0,0,0,34.81,0,5.01,37.26,0,0,47.89,4.93,0,0,0,27.95,0,5.65,0,0
