stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,208.16,3105.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.23,0,0,0,0,0,0,0,0,0,0
  5-6,189.17,3344.56,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.22,0,0,0,15.01,0,97.18,0,0,0,0,0,0,0,0,0,0
  7-9,62.95,25.64,0,23.22,0,0,0,40.69,0,0,0,0,0,13.85,0,0,0,0,0,0,0,0,0,0,0,781.26,34.25,0,0,268.42,0,7.16,4.81,0,9.82,0,0,0,0,0,0,0
 10-12,0,11.17,0,79.39,0,0,0,21.58,0,0,0,0,0,6.66,0,0,0,0,0,3.73,0,0,0,0,0,302.21,24.56,0,0,61.56,0,0,8.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23.43,3.89,0,3.63,0,0,0,1,0,0,0,0,0.96,0,0,0,0,2.85,0.95,0,1,45.64,1.05,4.11,0,0,0,19.54,3.4,1.14,0,0,22.93,0,0,0,0,0
 24-34,0,0,0,0.65,17.47,0.87,0,19.22,0,3.33,0,3.44,0.66,0,1.37,1.94,6.62,0,0,4.06,0.59,10.15,1.78,0,3.47,463.48,0,22.67,3.31,1,0,42.58,0,0,1.58,0,110.38,0,0,6.99,0,0.81
 36-46,0,0,0,0,31.27,0.67,0,39.63,0,0,0,8.71,0.82,0,2.16,5.47,1.59,0,0.57,3.46,22.8,14.52,0.77,0.56,0,1227.24,0.74,19.57,6.95,0,0,40.15,0,0,0,1.49,290.27,0,0,7.37,0,15.62
 48-58,0,0,0,1.75,17.5,2.7,0,218.6,0,7.33,3.02,35.36,0.88,0,1.99,13.89,21.86,0,2.78,1.84,19.66,43.64,0,0,4.28,1905.27,1.57,17.7,14.57,0,0,26.08,0,0,6.58,1.71,311.38,0,0,10.07,0,40.85
 60-70,0,0,0.7,0,19.52,0,0,1178.56,6.4,10.74,10,68.08,10.19,4.94,0,4.28,4.64,9.24,3.7,4.49,1.56,33.62,1.57,6.19,0.82,3020.71,0,19.49,17.95,0,0,50.35,0,0,2.94,0,392.78,0,0,9.2,1.72,51.31
 72-82,0,0,2.59,0,27.07,8.38,0,1558.1,0,12.83,1.42,99.75,6.24,0,2.19,21.34,9.44,8.31,2.95,4.57,4.64,39.2,0,0.56,1.83,2679.91,0,28.55,45.05,0,3.05,21.93,0,0,1.46,0,209.28,0.53,0.78,15.13,2.27,52.89
 84-94,0,0,1.26,0,34.14,3.1,0,1270.72,13.72,7.67,1.83,70.8,18.15,0,0,15.28,11.32,14.7,0.8,20,27.57,56.91,0,2.62,5.39,1776.46,0,9.77,39.09,0,0,78.59,0,0,4.57,0,128.83,3.95,0,11.42,1.83,12.15
 96-106,0,0,1.23,0,48.22,12.14,0,1502.7,0,10.67,7.43,94.05,7.21,0,4.13,18.86,10.54,20.14,9.93,21.94,3.39,48.31,3.97,3.06,0.8,1724.14,0.75,33.9,52.15,0,5.33,73.48,0.7,0,3.13,0,83.75,9.66,2.4,7.59,0,5.65
108-118,0,0,3.12,0.59,55.54,1.39,0.46,1116.1,0,11,1.94,123.59,17.79,0,0,16.39,13.02,14.68,3.83,12.93,12.35,86.76,1.65,8.2,2.52,1788.98,0,26.93,27.89,0,0,38.25,0.63,0,3.23,0,71.26,2.83,0,6.94,5.32,20.36
120,0,0,2.94,0,59.02,1.25,1.89,1345.63,6.09,2.67,0,202.59,20.98,0,8.25,55.91,14.48,17.7,1.54,38.6,3.3,85.52,0,18.12,4.56,3729.96,5.47,36.98,68.76,0,0,38.5,0,0,5.1,0,198.52,4.42,3.84,23.46,0,4.86
