stage,epidermis,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
 14-21,0.94,0,0,0,0,0,1.14,0,7.4,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,21.81,0,0,0,0,0.94,0,0
 36-46,0,4.46,0,0,0,0,0,0,32.22,1.29,0,0,0,6.19,0,0
 48-58,0,18.37,6.64,1.89,0,0,1.63,0,69.61,0,0,0,0,4.75,1.06,0
 60-70,0,15.96,0,1.12,0,0,2.48,0,65.17,0,0,0,3.95,0,0.83,6.6
 72-82,0,9.47,0,1.35,0,0,0.67,0,33.23,0,0,0,0,1.28,0,0
 84-94,0,15.46,0,0,0.7,0,1.31,0,38.38,0,0,1.76,0,4.91,0,0
 96-106,0,1.33,0,1.99,0,0,0,3.58,6.5,0,0,0.61,0,0,0.56,0
108-118,4.77,7.88,0.56,4.08,0,0,2.54,0,22.14,0.47,1.09,2.47,0,0,0,0
120,1.68,9.22,0,0,0,1.85,3.95,1.42,17,0,0,0,0,0,0,0
