stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,10.94,2.75,0,0,0,0,0,0,0,4.96,0,0,19.9,0,0,15.82,7.23,0,0,1.28,0,15.28,0,1.15,0.85,0,1.15,0,0,0,1.09,0
 24-34,0.86,1.09,0,0.71,0,4.66,0,0,0,3.92,10.46,0,91.18,7.8,0,33.47,15.9,0.68,0,0.69,0,22.55,0,0,0,0,1.02,0,0,0,0,0
 36-46,5.85,0.79,0,0.76,0,22.03,0,0,0,1.02,0,0,168.07,0,0,42.86,27.69,0,1.31,0,0,9.57,0.81,0,0,0,0,2.91,0,0,0.59,0
 48-58,0.42,0,0,10.97,0,29.3,2.06,0,0.89,0.37,0,0,188.03,0.95,0.51,27.08,17.61,0,0,0,0.47,6.44,0,0,0,0,0,0,0,0,0,0
 60-70,0.7,0.82,0,33.09,0,36.92,1.78,0,0,8.66,0,0,278.57,0,1.78,19.06,37.28,0,0,0,1.81,12.8,0,0,0,0,0,0,0,0.79,0,0
 72-82,3.04,0.51,0,31.46,0,77.56,2.94,1.68,0,0.63,0,0,356.54,1.8,1.35,16.16,36.74,0,1.09,0,0,4.54,0,0,0,0,0,0,0,0.73,0,2.55
 84-94,0.56,0,0,7.04,0,42.23,1.73,1.54,0,2.33,0,0,295.11,0,4.65,9.04,15.52,0,0,0,4.73,11.71,0,0,0,0,0,0,0,0,0,1.73
 96-106,2.74,9.74,1.12,12.24,0,22.73,2.71,0,0,10.56,11.01,3.42,212.15,0,0.66,17.31,9.72,0,0,0,0,12.17,0,0,0,0.57,0,0,2.08,1.27,0,0.68
108-118,1.16,0,3.32,21.4,0.96,15.13,4.69,0,0,3.51,0,0,251.06,0,6.01,7.66,17.76,0,0,0,0,7.75,0,0,0,0.99,0,0,0,0.57,0,0
120,20.33,0,0,12.34,0,48.63,0,0,4.89,2.87,0,0,220.42,0,2.58,11.5,2.22,0,0,0,0,4.15,0,0,0,0,0,0,1.1,2.24,0,0
