stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.09,1198.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.66,448.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,7.41,0,0,0,0,0,0,0,0,0,0
  7-9,6.59,0,0,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.37,0,0,0,28.68,0,0,5.5,0,0,0,0,0,0,0,0,0
 10-12,0,10.09,0,4.98,0,0,0,35.92,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,153.67,0,0,0,55.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,3.89,2.83,0,4.28,0,0,0,7.87,0,0,0,0,0,0,0,0,0,13.19,0,0,8.51,148.15,4.44,0,0,1.08,0,0,0,7.86,0,11.16,37.33,72.51,0,0,0,0
 24-34,0,0,0,0,1.37,2.01,0,10.49,0,0,0.76,8.91,0,0,0.89,0,0,0,0,0,0.65,40.61,0,2.43,8.02,517.84,1.02,2.19,0.62,0,0,0.79,0,0,0,1.16,2.31,156.73,0,1.75,0,0
 36-46,0,0,0,0,1.23,0,0,14.31,0,0,1.23,21.83,0,0,0,0,10.87,0,0,0,0,33.98,0,0,14.02,855.01,7.89,1.76,0.57,0,0,0,0,0,0,0,0,210.71,0,0.62,0,0
 48-58,0,0,0,0,1.72,0,0,132.17,0.81,0.79,1.29,57.16,0,0,0.77,0.8,0,0,0,0,0,48.33,0.41,1.54,4.74,1135.86,0,3.34,5.83,0,0,0.37,0,0,0,0,0,246.29,0,0.58,0,4
 60-70,0,0,0.7,0,0.87,0,0,416.84,0,2.75,3.56,62.41,0,0,0,4.43,0,0,1.46,0,1.05,66.99,0,5.65,4.52,1574.97,0.98,5.16,0.81,0,0,5.81,0,0,2.06,0,0,182.31,0,2.89,0,7.93
 72-82,0,0,0.95,0,10.22,0,0,589.17,0,0,0,79.45,1.45,0.52,0,0.65,0,0,1.05,0,2.83,81.6,0,2.21,1.67,1460.07,0,6.58,8.61,0,0,2.36,0.85,0,0,0,0,142.36,1.34,3.67,0.71,8.79
 84-94,0,0,0,0,13.11,0.61,0,393.84,0,0,7.74,35.57,1.94,0,0,1.16,1.04,0,0.69,0,0,104.96,0,1.5,9.8,796.72,5.27,12.21,8.51,0,2.68,1.53,0,0,0,0,0,74.87,1.26,0.65,0,0
 96-106,0,0,1.68,0,4.41,15.36,0,318.65,1.45,0,2.21,45.21,0,0,0,4.04,1.61,2.37,6.72,0,0,62.55,0,1.14,4.93,830.46,0,3,12.01,0,2.27,15.92,0,0,0,0,0,28.92,0,5.34,2.08,8.85
108-118,0,0,0,0,9.84,0,0,307.92,1.06,0,1.21,62.42,0.45,0,0,2.56,0,5.15,0.53,0,1.44,79.89,0,0.69,3.04,1090.18,0.69,2.18,8.23,0,0,0,0,0,0,0,0,39.8,1.31,3.19,0.44,1.42
120,0,0,0,0,33.34,0,7.3,415.35,8,2.35,0,116.34,0,0,0,2.76,0,0,2.07,4.15,0,91.74,0,10.27,7.92,1819.8,0,10.18,3.67,0,2.63,4.17,0,0,0,0,0,50.68,0,1.1,3.91,0
