stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,231.35,5017.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.74,0,0,0,0,0,0,0,0,0,0
  5-6,573.69,6800.19,0,10.26,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,0,0,0,0,0,0,0,177.49,10.41,0,0,19.29,0,245.28,0,0,0,0,0,0,0,0,0,0
  7-9,160.53,133.98,0,215.07,0,0,0,408.05,0,0,0,0,0,210.53,0,0,0,0,0,0,0,0,0,0,0,3876.24,192.26,0,0,1447.63,0,10.05,18.9,0,0,0,0,0,0,0,0,0
 10-12,0,77.26,0,167.53,0,23.91,0,250.53,0,0,0,0,0,70.72,0,0,0,0,0,0,0,0,0,0,0,2445.8,139.02,0,0,919.67,0,10.74,11.92,0,80.38,0,15.93,0,0,0,0,0
 14-21,0,0,0,9.24,62.54,18.64,0,23.04,0,0,0,14.38,3.7,8.3,3.27,0,0,0,0,3.24,0.85,25.87,0,0,24.03,283.62,25.43,4.16,7.05,8.83,0,54.13,0,54.9,2.61,26.32,53.53,107.22,0,3.36,0,0
 24-34,0,0,0,4.67,72.88,3.79,0,71.42,1.11,7.32,1.92,9.41,2.6,0,3.55,1.46,12.47,1.42,2.58,16.87,0,84.95,2.4,1.21,41.97,778.24,26.87,6.8,9.67,0,0,171.08,0,0,10.45,6.18,21.19,188,0,25.93,0,6.33
 36-46,0,0,0.85,0.56,62.06,3.23,0,71.75,11.5,5.42,0.78,20.94,2.84,0,4.33,1.4,2.39,0,0.7,12.35,1.5,80.41,3.38,0,11.49,546.71,24.37,7.61,10.48,0,0,267.66,0.81,0,9.67,6.34,0,110.3,0,22.25,0,7.61
 48-58,0,0,0,0,32.66,0,0,81.46,3.13,12.47,2.43,20.71,2.58,5.06,1.78,3.86,0.5,0.55,0.41,0,0,44.68,0,0.5,14.17,305.27,20.2,1.42,4.79,0,0,117.22,0,0,1.09,4.06,0,76.8,0,6.02,0,12.36
 60-70,0,0,0,0,38,3.47,0,121.26,4.37,5.73,5.7,21.09,4.17,0,3.8,0.57,0,0,0,0,4.03,64.2,2.63,5.2,3.77,165.04,7.01,2.87,10.67,0,0,169.14,0,0,0.76,3.2,0,52.43,1.31,20.78,0,1.07
 72-82,0,0,0.56,0,19.47,6.3,0,71.7,3.41,9.45,3.48,20.52,1.34,1.04,0.53,9.14,0,1.17,2.58,1.03,0,37.04,0.73,1.35,6.89,132.07,1.04,0,0.79,0,1.4,47.51,0,0,0.76,0,0,10.82,1.21,7.18,0,0
 84-94,0,0,1.29,0,8.72,1.19,0,37.39,0,4.85,2,3.89,3.5,0,1.44,2.37,0,0,0,1.78,0.67,49.37,0,5.34,5.49,56.88,2.79,7.34,4.3,0,0,107.53,0,0,1.11,0,0,2.15,0,5.89,0,0
 96-106,0,0,0,0,4.1,2.96,0,12.91,0.79,3.21,3.06,3.29,0,0,0,0,1.18,0,2.65,0,0,10.04,3.03,1.37,2.3,40.27,2.01,0,2.13,0,0,59.18,0,0,0,1.18,0,19.4,0,6.91,0,0
108-118,0,0,0,0.74,10.73,14.75,1.26,27.26,0,4.23,2.28,5.02,1.48,0,1.52,3.25,2.32,1.63,0,1.49,0.5,30.57,0.91,3.27,0.58,51.05,0,0.64,0.87,0,1.63,83.2,0,0,0.42,1.34,0,3.88,0.47,5.29,3.05,0.48
120,0,0,0,0,53.34,3.5,0,54.23,1.25,2.93,0,5.95,17.84,0,0,3.82,2.96,0,0,14.62,0,72.39,2.21,0,11.45,77.55,10.07,0,1.34,0,0,73.59,0,0,0,0,0,0,2.15,10.66,3.81,0
