stage,erythrocytes,exocrine_pancreas,eye,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,4.98,0,0,9.38,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.43,1.62,0
 24-34,0,0,0,0,0,0,0,0,0.62,4.01,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,2.75,0
 48-58,0,0,0,0,0,0,0.41,0.89,0,5.04,0,0,0,0,0,0,0,0.55,0
 60-70,0,0,0,0,0,0,0.62,0,0,0,0.57,0,0,0,0,0,0,0,0
 72-82,0,0,1.25,0,0,1.06,6.47,0,0,0,0,0,0,0,0.85,0,0,1.71,0
 84-94,0,0,0,0,0,0.94,5.68,0,0,1.73,0,0,0,0,0,0,0,0,0
 96-106,4.17,0,1.87,0.96,1.4,0,175.99,3.93,0,40.01,0,0.67,0,1.5,0,0,0,0,4.03
108-118,0,0.56,6.4,1.33,0,0,206.03,0,0,21.61,0,0,0,0.43,0,0,0,0,1.44
120,0,0,0,0,0,0,134.43,0,0,23.88,0,0,0,0,0,0,0,0,0
