stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0
  5-6,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.5,0,0,0,5.11,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0,0,69.14,7.59,0,0,52.97,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.13,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,140.97,90.83,0,0,66.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.16,2.46,0,6.7,0,0,0,1.14,0,0,0,0,0,0,0,0,0,16.74,0,0,4.18,28.1,21.86,0,0,0.96,0,0,4.22,0,6.53,15.63,0,0,1.01,0,0
 24-34,0,0,0.98,23.9,0,0,7.51,0,1.43,0,4.12,0,0,4.85,0,1.73,0,0,0,9.17,71.04,0,0,34.45,137.52,21.12,1.72,0.61,0,2.91,4.77,0,0,5.78,68.78,0,0,9.49,0,9.44
 36-46,0,0,0,9.73,0,0,13.19,0,7.43,13.31,15.38,0,0,10.79,0,0,0.65,1.61,0,10.05,210.21,0,2.84,70.33,260.75,43.78,0.75,7.01,0,0,0,0,0,0,74.36,0,1.23,17.87,0,9.37
 48-58,0,1.29,0,10.17,0,0,18.03,0,1.89,18.91,33.69,0,0,1.01,0,0,0,0,0,6.85,236.04,0,3.29,39.39,109.72,16.76,0,1.69,0,1.04,4.2,0,0,0,55.4,0,1.18,20.83,0,5.07
 60-70,3.33,0,0,10.51,0,0,22.87,0,7.77,55,118.17,0,1.77,11.5,0,0,0.58,0,4.5,6.22,580.3,0,9.22,41.62,164.97,19.66,0,5.39,0,7.14,4.34,0,6.41,0,47.33,0,5.67,13.24,1.33,13.04
 72-82,0,0,0,4.69,0,0,36.87,0,0,37.7,52.27,0,0,0.73,0,0,2.17,0,0,5.32,331.47,0.58,5.3,20.28,95.38,1.84,0,6.47,0,1.05,2.11,0,0,0,27.66,0,7.5,27.44,4.76,0
 84-94,0,0,0,12.17,0,0,27.17,0,0,10.87,76.43,0,0,2.81,0.83,1.95,2.34,0.84,0,0,279.61,1.71,4.94,23.12,136.18,0.76,1.17,5.45,0,3.32,17.94,0,0,0,5.74,0.74,12.53,15.8,0.66,2.54
 96-106,0,0,0,5.4,0,0.8,13.85,2.82,4.64,3.14,26.78,4.66,0,0.62,0.57,0,1.5,2.39,0,0,195.05,0,1.86,7.77,57.2,0.77,1.2,0.79,0,5.34,24.53,0,0,0,3.39,0,7.31,13.43,10.05,0.63
108-118,0,0,0,7.92,0,0.84,23.3,0.92,3.85,7.84,23.58,4.88,0,0,0.9,1.7,6.02,0,0,4.88,201.25,0,12.83,7.17,81.5,2.53,0.49,9.71,0,0.76,3.33,0,0.42,0,3.57,0,2.05,22.7,0.5,13.21
120,0,0,0,21.73,0,0,23.84,0,2.52,5.31,81.67,1.55,0,3.24,1.43,0,1.74,1.77,0,0,123.71,2.21,2.22,1.24,214.15,5.14,0,5.9,0,0,22.27,0,0,0,2.39,0,0,10.86,0,0
