stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,22.83,343.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0
  5-6,9.26,156.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.16,0,0,0,0,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,0,0,0,8.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.97,0,8.4,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,122.42,11.32,0,0,51.43,0,0,0,12.83,0,0,0,0,0,0
 14-21,0,0,1.1,7.55,5.8,0,2.85,0,0,0,0,4.38,0,2.44,0,0,0,0,0,4.88,0,0,7.52,66.71,2.63,0,0.88,0.88,0,0,16.62,0,0,14.6,8.57,0,0,0
 24-34,0,0,0.76,6.68,0,0,15.06,0,0,0,0,0,0,0,0.62,0,0.68,0,0,11.93,0,0,1.39,83.17,0,2.3,0.73,0,0,1.37,0,0,1.32,4.27,15.84,0,1.93,0
 36-46,0,0,0,1.85,0,0,17.09,0,0.58,3.11,0,0,0,0,0,0,0,1.69,0,7.55,0,0,4.98,82.79,0,0,0,0,0,3.72,0,0,0,0,9.22,0,0,0
 48-58,0,0,0,2.99,0,0,51.78,0,0,7.88,0.61,0,0.86,0,0,0,0,0,2.73,15.34,0,0.53,3.01,73.07,0,0.92,0,0,0,0.8,0,0,0,0,11.65,0,1.51,0
 60-70,0,0,0,6.75,0,0,48.82,0,0,6.6,0,0,0,0,0,0,0,0,0,17.28,0,0,4.29,79.37,0,0,0,0,0,10.73,0,0,0,0,8.54,0,2.96,0
 72-82,0,0,0,1.41,0,0,20.7,0.62,0.87,5.53,1.94,0,0,0,0,0,0.56,0,0,15.31,0,2.85,1.25,107.57,0,0,0,0,0,2.27,0,0,0,0,7.28,0,0,0
 84-94,0,0,0,2.89,2.16,0,20.03,0,0,6.57,0,0,1.66,2.2,0,0.67,0,1.97,1.35,13.41,0,4.21,5.24,58.04,0.57,0,2.23,0,0,9.19,0,0,0,0,5.85,0,1.36,0
 96-106,0,0,0,11.08,0,0,7.4,0,0,6.96,1.37,0,0,0,0,1.57,1.09,1.12,0,10.91,0,2.51,3.9,45.46,0,6.7,2.32,0,0,11.98,0,0.93,0,0,10.56,0,1.31,0
108-118,0,0,0.74,6.66,1.16,2.21,26.29,0,0,13.11,1.54,0,0,0.65,2.08,0,0,5.64,0,15.73,0.45,0,1.62,75.86,0,0.53,0.72,0,2.43,13.71,0,1.44,0,0,0,2.39,0,3.84
120,0,0,0,13.8,0,0,18.88,0,0,53,1.12,0,0,1.01,0,0,1.34,0,0,27.29,0,0,10.57,64.54,0,0,0,0,0,5.56,0,1.13,0,0,0,0,0,3.15
