stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,53.75,1545.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.56,0,0,0,0,0,0,0,0,0,0
  5-6,54.05,1229.45,0,12.33,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,90.07,0,0,0,9.77,0,22.2,0,0,0,0,0,0,0,0,0,0
  7-9,249.15,28.12,0,149.13,0,0,134.81,0,0,0,0,0,68.68,0,0,0,0,0,0,0,0,0,0,0,965.09,307.99,0,0,475.82,0,0,38.21,0,0,0,0,0,0,0,0,0
 10-12,0,61.36,0,220.35,0,43.14,66.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884.19,53.51,0,0,330.18,0,0,0,0,319.7,22.81,0,0,0,0,0,0
 14-21,0,0,1.11,112.77,300.22,30.95,4.69,0,1.92,0,0,24.67,0,2.03,0,2.31,0,0,1.59,0.86,50.17,0,0,22.13,40.48,9.42,0,2.53,6.02,0,1.79,3.89,79.4,30,54.74,148.99,0,0,17.85,0,0
 24-34,0,0,1.1,34.12,165.6,4.81,27.36,0,32.14,3.43,9.01,3.1,0,13.74,6.32,0,0,5.94,1.49,0.66,86.17,0,0,47.54,115.17,2.29,0.76,9.66,0,0,0,0,0,18.27,15.64,118.69,0,0,111.28,0,5.66
 36-46,0,0,0,2.38,82.54,0.58,15.11,5.09,60.03,4.27,12.24,0.82,0,7.72,0,0.62,5.9,5.47,18.71,0,239.26,0.73,1.74,83.91,73.97,11.86,1.6,2.76,0,0,11.22,0,0,10.38,0,58.59,0,0,102.21,0,1.36
 48-58,0,0,0,0,85.28,0.85,48.41,3.17,29.81,11.44,13.1,4.13,0,4.55,0,0,2.86,1.25,1.59,0.54,459.08,1.32,12.57,74.54,116.72,5.76,5.62,6.92,0,0.47,6.4,0,0,9.2,0,55.14,0,2.34,67.63,0,4.68
 60-70,0,0,0.62,0,54.84,3.51,42.91,2.59,50.47,3.58,12.84,2.5,0,7.52,0,0,6.06,2.02,1.28,0,761.98,2.18,19.98,81.81,74.73,11.31,1.17,13.88,0,0,0,0,0,7.59,0,18.8,0,10.56,73.37,6.46,0
 72-82,0,0,2.35,0,39.21,3.27,37.65,0.71,22.74,8.18,20.97,10.46,0,10.66,0.55,0,1.21,7.74,14.32,0,899.52,0,19.92,63.55,93.03,4.72,2.19,5.71,0,0.87,0,0,0,10.83,0,28.37,0,31.11,82.49,32.58,10.7
 84-94,5.55,0,6.09,0,100.96,2.37,71.15,1.92,29.4,17.19,21.83,11.47,0,19.99,3.78,0.56,4.63,2.81,2.05,0,654.7,0,22.19,50.85,85.08,18.84,3.25,14.36,0,0,11.92,0,0,11,0,11.03,3.07,33.51,113.51,26.74,0
 96-106,0,0,4.24,0.79,101.41,14.89,34.84,5.48,51.05,3.68,31.98,22.98,0,5.27,4.46,3.3,4.63,2.92,3.62,7.05,768.13,3.08,18.23,60.1,67.68,14.96,6,7.94,0,0,2.16,0,0,5.37,0,33.54,4.1,24.85,85.9,27.22,2
108-118,0,0,1.47,0.5,114.9,2.44,87.27,4.36,57.45,7.26,26.87,24.63,0,8.9,4.37,5.99,16.76,3.55,8.97,0,742.4,2.89,16.55,49.44,73.46,40.45,4.84,11.87,0,3.17,10.76,0,0,8.64,0,13.71,0.43,20.35,95.68,23.28,0
120,0,0,1.22,0,108.71,0,35.9,11.51,60.58,9.76,6.85,39.84,0,13.52,9.65,0,0,23.89,6.86,0,569.12,1.13,0,32.99,71.92,48.5,5.07,7.04,0,2.54,9.4,0,0,1.83,0,23.17,4.63,25.71,49.19,32.19,0
