stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,58.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0
  5-6,0,35.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.94,7.96,0,0,18.04,0,0,0,0,0,0,0
 10-12,0,0,0,6.67,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,48.63,8.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,4.7,0,3.1,0,0,0,0,0,0,0,0,0,1.69,0,45.34,0,0.89,0,0,5.88,3.31,8.76,16.98,0,0,0
 24-34,0,0,0,0,2.33,0,2.02,0,0.7,1.02,0,0,0,0,0.7,0,2.17,5.32,92.6,0.63,2.72,1.6,0,8.94,0,1.31,22.18,0,6.42,0
 36-46,0,0,0,0,0,0,8.38,1.1,0,0,0,0,0,0,0,0,2.77,4.24,57.58,0,0.65,0.63,0,0,0,0,14.93,0,0,0
 48-58,0,0,0,0,0,0,8.91,2.13,0,3.09,0,0,0,0,0,0,4.3,0,31.05,0,0.96,0,0,4.98,0,0,6.59,0,0,0
 60-70,0,0,0,0,1.36,0,18.99,3.03,0,2.27,0,0,0,0.77,0,0,2.1,0,19.04,0,0,0,0,3.5,0,0,2.38,0,0,1.96
 72-82,0,0,0,0,0,0,14.76,0,0,1.42,0,0,6.94,0,0,0,3.32,0,17.36,0,0,0,0,1.39,0,0,3.77,0.75,1.83,0
 84-94,0,0,0,0,0,0,7.56,0,0,0,1.36,0.64,3.59,0,0,0,0,0.58,9.16,0,0,0,0,0.92,0,0,0,0,0,0
 96-106,0,0,0,0,0.96,0,4.3,0,0,4.72,0,0,0.59,0.69,1.3,0,3.86,0,11.66,0,0,0,0,0,0,0,0,0,2.58,0
108-118,0,0,0,0,1.33,4.14,0,0,0,2.43,0,0,2.31,0.87,0,0.43,2.83,0.67,15.77,0,0,0,0,1,0,0,0,0,0,0
120,0,0,0,0,0,1.03,5.62,0,0,0,0,0,7.02,0,0,0,1.22,0,33.76,0,0,2.45,0,0,0,0,0,0,0,0
