stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0
 14-21,0,1.91,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,7.26,0,0,0
 24-34,0,2.98,0,0,0,0,0,0,0,0,1.72,0,6.74,0,0,0.94,1.13,1.96,0,0,0,0,15.62,0,0,0
 36-46,0,0,0,0.58,0,0,0,0,0,0,0,0,2.5,1.02,0,0,0,2.41,0,0,0,0,24.56,0,4.17,0
 48-58,0,0,0,0.47,0,0,0.47,0,0,0,1.15,0,16.68,0,1.33,2.36,17.2,23.87,0.6,0,0,0,9.68,4.61,6.84,0
 60-70,0,0,0,0,0,4.7,4.51,0,0,0,0.67,0,133.38,0,15.63,4.02,12.75,25.49,0,0,0,0,4.49,6.75,9.47,0
 72-82,0,1.11,0,30.1,0,0,2.81,1.25,1.42,0,0,0,502.18,0,17.92,16,16.87,19.25,0.66,0,0,0,12.99,17.86,5.59,2.18
 84-94,0,2.85,0,18.33,0,0,0.8,5.42,3.07,0,0,0,526.47,0,17.52,9.4,5.06,35.47,0,4.73,6.7,0,1.73,35.1,8.07,3.78
 96-106,0,0.89,5.91,17.91,1.64,0,12.47,4.93,4.36,1.84,1.65,0,497.41,0.68,25.45,5.46,37.2,29.55,5.58,0.79,0,0.98,0,13.6,0.85,0.59
108-118,0,1.07,0,7.65,1.02,0.55,1.19,0.84,2.23,0,0,0.46,451.96,0,33.88,2.75,18.26,25.89,0.43,13.98,0,0,1.26,7.9,0,11.38
120,0,10.39,0,1.13,0,0,0,0,12.76,0,0,0,528.37,0,31.17,5.93,31.19,21.75,0,0,0,0,28.7,16.87,0,7.19
