stage,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,13.46,0,0,0.88,0,280.85,0
 24-34,0.69,0,3.46,0,0,0,0,0,84.33,0,0,0,0,936,0
 36-46,0,1.22,0,0,0,0,0,0,126.21,0,0,0,0.83,1139.01,0
 48-58,0.85,4.74,8.1,0,0,0,2.37,0,65.55,0.79,0,1.15,0,1058.69,0.72
 60-70,0,10.66,2.91,0,0,0,0,0,22.84,0,0,0,0,851.95,0
 72-82,0.79,18.42,79.67,39.94,0,0,0.77,0,7.42,0,0,0,0,818.65,0
 84-94,6.7,6.8,5.82,0,0,0,1.35,0,44.92,0,0,0,0,374.46,0
 96-106,3.65,0.67,278.86,0,0,1.3,6.83,0.97,5.43,0,0,0,1.88,581.16,0
108-118,0,9.89,223.99,0,10.29,0,0,0,10.89,0,0,0,0,687.78,0
120,7.74,1.26,19.78,0,0,0,0,0,102.81,0,12.48,0,0,448.44,0
