stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,335.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.37,0,0,0,0,0,0,0,0,0
  5-6,14.05,190.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,7.28,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.41,6.2,0,0,12.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,4.36,6.81,0,0.88,0,0,0,2.79,0,1,0,0,3.02,0,0,0,0,4.12,0,0.82,55.46,4.6,0,0,0,0,6.22,1.01,3.06,1.06,13.37,14.57,0,0,0,0
 24-34,0,0,0,0,4.39,0,0,9.48,0,0,0,6.05,0,0,3.83,0,0.65,0,0,0,4.35,9.42,0,2.81,40.69,0,0,0,0,0,14.34,0,0,0,2.88,13.59,0,10.73,0,2.18
 36-46,0,0,0,0,1.32,0,0,8.24,0,0,0,0.6,0,0,0.75,2.57,0,0,3.76,0,0,5.44,0,0.75,29.02,0,0,4.13,0,0,11.92,0,4.73,0,0,6.74,0,7.12,0,3.89
 48-58,0,0,0,0,0.78,0,0,13.3,0.66,1.49,0,0.53,0,0,0,0.84,0,0,1.03,0,4.19,6.68,0.56,0.94,6.71,0.45,0,0.6,0,0,11.74,0,0,0,0,1.25,0,0.85,0,5.08
 60-70,0,0,0,0,5.66,7.11,0,19.58,0,0,0,6.01,0.62,0,0,1.93,0,0,0,0,0.93,5.89,2.18,2.18,5.45,0,1.66,0,0,0,3.83,0,0,0,0,0,0,1.04,0,0
 72-82,0,0,0,0,4.19,8.59,0,10.9,0,0,1.13,2.41,0,0,0.81,2.72,0,0,0,0,0,10.77,1.06,0,8.4,0,1.99,0,0,0.71,5.86,0,0,0,0,0,0,5.21,0,8.9
 84-94,0,0,0,0,2.22,19.11,0,20.12,0,5.67,1.51,7.49,1.06,0,1.46,1.83,0.59,4.41,0.89,0.56,0.59,23.12,1.71,0,7.75,0,0,0,0,0,15.87,0,0,0,0,0,0,0.97,3.51,1.44
 96-106,0,0,0.99,0,0.77,7.89,0,4.27,0,0.9,0,4.8,0.69,0,0,3.15,0.67,7.8,2.22,0,2.2,8.34,0,1.57,6.88,0.62,0.68,0,0,0,14.82,0,0,0,0,0,0,2.67,0.89,0
108-118,0,0,0,0,1.6,6.48,1.52,11.58,0,1.05,0,6.86,2.32,0,0,4.14,0.56,0,0,0.42,1.47,11.9,0,0,14.27,0,0,5.87,0,1.37,13.93,0,0,0,0,0,1.33,8,1.76,2.59
120,0,0,0,0,0,6.64,0,20.38,0,0,0,6.52,3.56,0,0,1.11,3.28,0,0,0,0,13.1,1.56,0,2.12,0,0,0,0,0,5.46,0,1.02,0,0,0,0,17.01,0,1.1
