stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,74.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,111.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,9.27,0,11.17,0,0,23.4,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,192.5,46.24,0,0,114.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.75,0,229.78,0,5.97,0,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,322.97,142.7,0,0,524.24,0,0,0,4.43,14.26,0,30.1,0,0,0,0,0,0
 14-21,0,0,0,0,18.32,1.75,4.33,0,2.95,0,4.21,11.11,2.24,0,0,0,0,0,0,0,21.36,0,0,36.58,94.76,24.02,0.85,7.11,17.09,0,0,1.23,60.75,1.79,51.11,303.56,147.73,0,0,0.92,0,0
 24-34,0,0,0,0.68,33.74,0,30.98,0,35.38,2.06,17.17,2.67,0,6.54,0,0,0,1.08,0,1.41,25.64,0,0,27.58,621.42,13.7,0,33.92,0,0,0,0,0,1.94,17.47,59.12,268.48,0,0,4.23,0,5.82
 36-46,0,0,0,0,9.49,0,172.81,8.67,46.35,1.94,37.63,1.15,0,7.11,0,0,10.99,0,0,0,44.66,0,0.8,16.68,1065.75,8.07,3.62,20.21,5.14,0,12.23,0,0,13.98,7.89,0.58,562.68,0,0,3.21,0,2.12
 48-58,0,0,0,2.15,10.29,0,201.2,7.21,14.11,0,94.23,7.41,0,0.51,6.36,0,9.24,0.91,0,0,66.79,0,0.84,30.98,652.21,24.52,0,24.43,0,0,5.57,0,0,2.74,8.96,0,426.11,0,0,8.68,0,0.89
 60-70,0,0,1.29,0,17.18,0,135.84,5.65,42.97,0,90.96,6.57,2.2,5.37,0,0,9.31,2.05,0,0,75.83,0.9,2.9,22.93,236.63,6.18,0,37.8,0,0,3.28,0,0,1.68,5.82,0,193.63,0,0,2.91,0,19.08
 72-82,0,0,1.36,0,7.56,0.86,102.68,8.24,14.17,0.96,126.86,5.8,0.5,0.92,3.51,0,21.72,2.3,0,0,121.12,1,1.34,11.59,154.43,0.73,1.07,43.04,0,0.77,1.1,0,0,10.62,3,0,93.42,0,0,7.81,6.32,8.48
 84-94,0.62,0,1.43,0,14.24,0,109.46,3.03,20.65,2.01,152.96,22.12,0.66,0,1.88,0,10.17,1.55,0.83,0.83,79.94,2.35,8.91,16.83,117.42,0.65,4.03,57.37,0,1.01,5.54,0,0,3.24,3.84,0,76.07,0.9,3.98,4.06,2.93,2.4
 96-106,0,0,0.99,0,6.23,0,109.33,6.52,43.38,0,168.85,5.03,0,1.39,0,0,10.87,0,15.07,0,78.87,0.76,0,8.91,104.27,0.81,0.92,52.9,0,5.98,2.39,0,0,0,8.44,0,45.05,3.34,5.84,11.5,6.05,0.69
108-118,0,0,0.52,0,20.35,0,179.96,13.5,38.74,1.99,165.77,10.03,0,1.52,0,1.56,19.01,3.34,0.99,1.05,73.07,0,6.02,19.94,129.91,5.37,0.46,49.52,0,2.11,1.92,0,0,5.2,2.4,0,15.21,0.48,2.03,15.48,17.47,7.51
120,0,0,0,0,30.46,4.21,76.35,5.58,39.38,1.04,367.49,12.91,0,2.18,0,0,10.55,1.34,11.3,0,120.97,0,2.47,13.84,185.77,6.42,0,46.52,0,12.2,2.32,0,0,2.39,6.87,0,46.02,0,22.45,0,21.32,0
