stage,epidermis,erythrocytes,eye,ionocyte,liver,mesenchyme,neural,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,3.28,0,0,0
 10-12,0,0,0,0,0,0,3.73,0,0,0,0,0
 14-21,2.67,6.61,0,0,0,0.95,8.19,0,0,0,0,1.14
 24-34,8.57,0,0,0,0,0,0.71,0,0,0,0,11.27
 36-46,6.65,0,0,0,0,2.07,2.81,0,0,0,0,1.7
 48-58,0.76,0,0,0,0,1.9,1.05,0,0,3.5,0,3.39
 60-70,1.3,0,0,0.56,0,4.67,12.62,0,0,0,0,16.94
 72-82,0,0,0.5,0,0,17.87,13.25,0,0,2.31,0,19.33
 84-94,0.7,0,1.33,0,0,14.67,8.34,0.83,0,0,0,10.88
 96-106,2.47,0,0.59,0.8,7.43,3.38,8.96,0,0,2.33,0,7.09
108-118,1.55,0,0,0.42,0,8.63,14.05,0.92,0,3.13,2.44,7.67
120,0,0,0,0,19.61,21.06,53.63,8.13,0,0,0,8.35
