stage,eye,gut,immune,liver,mesenchyme,neural,pronephros,spinal_cord
 14-21,0,0,0,3.25,0,0,0,0
 24-34,0,0,0,0.86,0,0,0,0
 36-46,0,0,0,8.48,0,0,0,0
 60-70,0,0,35.77,0.68,0,0.62,0,1.24
 72-82,5.83,0,309.9,0,0.57,5.15,0,0
 84-94,0,0,10.92,0,0,0,0,0
 96-106,0,0,270.5,0,0,0,0,0
108-118,0,0.71,12.45,0,1.15,6.14,0.42,0
120,3.08,0,569.33,0,0,0,0,0
