stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.95,114.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
  5-6,0,99.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,18.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.2,0,0,0,60.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.26,0,19.69,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.99,0,0,0,134.61,0,0,0,40.7,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.63,0.95,1.67,0,0,0,0,0.87,0,0,0,0,0,0,0,0,5.84,0,0,2.7,73.47,3.06,2.61,2.04,0.94,0,0,6.83,0,1.23,5.76,24.73,0,0.83,0,0
 24-34,0,0,0,0,1.88,0,7.35,0,0,0,1.98,0.64,0,0.76,0,0,0,0,0,0.69,10.42,0,0,5.05,203.92,0,2.25,0.78,0,0,0,0,0,0,2.63,57.83,0,6.66,0,0
 36-46,0,0,0,0,0,0,20.71,0,0,0,9.56,0,0,0,0,0,0,0,0.59,0,17.91,0,0.72,6,285.14,0,1.91,1.29,0,0,18.38,0,0,1.12,0,49.64,0,0.92,0,0
 48-58,0,0,0,0,0.42,0.41,45.66,6,0,0.44,12.59,0,0,0.44,0.7,0.37,0,0,0,0,18.93,0,0,2.56,258.83,0,1.09,2.18,0,0,2.21,0,0,0,0,84.04,0.37,2.64,0,2.36
 60-70,0,0,0,0,0.9,0,155.55,0.78,0,0,15.88,0,0,3.79,0,1.88,0,0,0,1.94,25.06,0,0,2.19,296.78,0,1.52,1.26,0,0,4.46,0,0,0,0,94.56,0,1.46,0.59,12.17
 72-82,0,0,0,0,4.78,3.18,263.68,1.52,0,3.36,65.5,0,0,0,4.06,0.75,0.73,0.81,0,0,73.19,0.88,0,11.15,398.24,1.37,5.49,4.9,0,0,3.08,0,0,0,0,65.45,1.51,10.08,1.45,13.11
 84-94,0,0,0,0,8.64,5.74,159.89,0,0.6,9.34,46.92,0.64,0.76,0,2.05,3.26,2.62,1.57,0,1,62.03,0,4.09,7.92,293.94,0,4.16,2.84,0,0,4.05,0,0,0,0,37.95,0,6.13,4.21,6.29
 96-106,0,0,6.74,0,10.63,8.36,201.89,1.62,2.21,0,76.98,0.67,0,0,3.78,2.51,3.67,1.97,0,0.67,91.31,0,1.4,1.34,259.48,0,6.61,2.04,0,1.04,18.37,0,3.34,1.86,0,28.94,2.08,9.83,4.03,13.28
108-118,0,0,1.56,0,9.4,7.01,279.51,1.47,1.35,5.4,90.26,0.43,0,2.14,4.74,1.58,0.56,1.62,8.49,4.99,87.13,4.6,3.35,2.71,431.42,0.93,2.73,9.61,0,2.66,1.65,0,0,0,0,24.81,1.31,3.89,6.02,5.33
120,0,0,0,0,7.12,6.26,141.82,0,4.64,0,54.9,0,0,0,2,0,1.43,1.11,0,7.72,100.78,0,14.92,7.82,472.83,2.28,1.99,7.81,0,0,13.42,0,0,0,0,35.08,10.18,24.7,4.27,4.77
