stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature
  7-9,0,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,1.28,0,0,0,0,0,3.97,1.44,0.8,1.56,7.32,0,0
 24-34,3.77,1.75,0.86,0,2.78,0,1.04,0,0,0,9.36,7.97,0,0,1.45,0,9.17,5.46,0,0,5.32,0,0
 36-46,0,0.63,0,0,0,3.75,0,0,0,0,12.57,0,0,0,3.09,0,16.7,2.13,0,0,4.77,0,0
 48-58,0,0,6.49,0,13.97,0,0,0.69,0,0,26.96,0,0,0,1.73,0.39,44.66,0.81,0,2.86,3.91,0,0
 60-70,2.47,0,0,0,18.27,0,4.72,0,0,0,11.53,0.94,0,4.41,0.7,0,124.5,1.97,1.26,3.35,6.63,0,0
 72-82,1.5,0,0.96,0,18.75,0,0.88,0,0,3.9,8.77,0.63,0,3.72,0,5.01,147.96,6.94,0,0,6.25,0,1
 84-94,4.25,0,1.06,0,24.86,0,4.13,2.32,0,0,1.76,1.82,0,0,4.44,0,75.61,6.48,3.04,2.27,9.02,0,0
 96-106,3.18,0,1.47,0,20.03,0,1.49,0,1.06,0,2.45,3.72,0,2.17,2.53,0,107.99,2.14,7.5,0.94,7.92,0,1.71
108-118,4.83,1.06,1.61,0,36.66,0,3.42,1.17,0,0,9.55,1.57,0.74,2.72,0,0,128.31,4.57,2.16,2.87,1.95,0.54,0
120,2.94,0,3.59,0,22.92,0,4.03,0,0,0,2.42,2.22,0,1.61,0,0,218.57,0,0,0,0,0,0
