stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.32,87.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.76,10.42,0,0,0,0,5.91,0,0,0,8.56,0,0,0,0,0,0,0,0,121.36,11.5,0,0,80.17,0,0,0,0,0,0,0,0
 10-12,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9,0,0,0,47.97,0,0,18.95,0,0,0,0,0
 14-21,0,0,0,1.35,107.68,0,0.81,0,1.17,0,0,0,0,0,0,3.67,0,0,3.42,29.46,1.77,0,0,2.64,1.67,2.65,1.05,0,18.45,0,1.06,0
 24-34,0,0,0,3.76,70.56,0,3.68,0,1.51,0,0,0,0,0,0,5.63,0,0,4.35,106.53,7.77,0,0,0,3.44,0,0,0,20.66,0,3.51,0
 36-46,0,0,0,8.16,20.24,0,16.43,0.56,1.01,0,0,0,0,0,0,0.67,8,0,0,85,0,0.66,0.82,0,2.19,0,0,0,21.01,0,1.16,0
 48-58,0,0,0,0.37,0,0,9.92,0.59,13.59,0,0,0,0,0,0,5.75,0,1.03,0.48,99.78,0,0,0,0,3.65,0,0,0,20.01,0,0,3.06
 60-70,0,0,0,0,6.35,0,45.68,0,19.61,0,0,0,0,0,0,5.03,0,2.57,0,94.16,0,0,0,0,0.62,0,0,0,15.63,0,0,0
 72-82,0,0,1.27,0,0,0,34.93,0,17.29,0,0,0,0,0,0,11.98,0,0,0,114.53,0,0,0.84,0,1.41,0,0,1.5,10.36,0,3.12,2.74
 84-94,0,0,0,4.6,0,0,29.85,0,19.22,1.71,0,0,1.86,0,0,12.48,0,0,0,75.7,0,4.44,3.6,0,9.62,0,0,0,4.78,0,0,0
 96-106,0,0,0,4.32,7.05,0.71,17.33,0,0,0,0,0.71,0,0,2.32,6.58,0,0,0,16.87,0,0,0,0,12.15,0,0,0,3.25,0,1.83,0
108-118,0,0,0,5.64,0,0.47,33.58,1.78,3.7,0.41,0,0.44,0,2.91,1.18,14.75,0,0,0,56.04,0,0,0,0,5.35,0,0,7.27,0,0,2.35,0
120,0,0,0,4.42,0,0,56.41,0,8.95,0,0,1.01,0,0,0,2.56,0,0,1.22,66.11,0,0,0,0,2.42,0,0,0,0,2.24,6.62,0
