stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,1363.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.67,0,0,0,0,0,0,0,0
  5-6,35.64,781.72,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,9.78,0,0,0,0,0,0,0,0
  7-9,22.51,69.19,34.63,0,0,0,122.1,0,0,0,0,0,63.17,0,0,0,0,0,0,0,0,0,0,0,991.03,7.15,0,0,368.73,0,0,19.5,0,0,0,0,0,0,0
 10-12,0,73.62,39.64,0,11.1,0,148.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464.24,16.51,0,0,371.22,0,0,13.82,0,75.06,9.11,5.88,0,0,0
 14-21,0.89,0,2.19,22.95,15.36,0,15.46,0,0,0,12.1,0.85,0,0,0,1.22,0,0,0,0,15.71,0,0,5.55,501.17,12.65,2.47,3.12,6.64,0,15.69,0.86,15.99,1.29,11.41,102.27,3.72,0,0
 24-34,0,0,0,8.6,4.12,0,147.7,0,0.7,0,12.33,0,0,1.02,0,0.72,0.64,0,0,0.62,43.05,0,0,12.77,1299.04,2.74,6.49,4.02,1,0,12.58,0,0,1.04,0.74,210.39,4.23,0,0
 36-46,0,0,0,3.04,5.27,0,412.04,0,0,0,25.5,3.02,0,0,0,0,1.49,0,0,0,32.52,0,0.8,7.68,940.45,0,3.54,2.19,0,0,9.48,0,0,1.36,0,195.8,5.12,0,1.02
 48-58,0,0,0,7.24,0,0,534.4,0.7,3.48,0.4,30.86,0.92,0,2.16,3.09,0,0,0,0,0,22.35,0,1.02,3.59,433.34,0.39,0,2.67,0,0,7.58,0,2.72,0,0,65.42,1.42,0,0
 60-70,0,0,2.89,4.36,1.35,0,386.2,0,0,0,62.34,13.02,0,0,0.65,2.84,9.66,3.58,0,0,12.59,0,1.81,4.88,239.89,0,0,0,0,0,3.51,0,0,0,0,16.66,3.08,0,0
 72-82,0,0,2.53,9.07,10.89,0,151.3,0,0,0,33.76,4.57,0,0,0,0.55,0,0,3.42,0,21.01,0.56,0.88,2.31,135.8,0,0.75,4.67,0,0,0,0,0,0,0,9.17,3.74,0,0
 84-94,0,0,8.27,4.47,2.15,0,105.89,0,0,0,19.99,8.99,0,0,3.31,0.56,0,0,0.61,0,25.87,0,2.41,5.75,123.71,0,4.91,2.22,0,0.57,1.17,0,0,2.39,0,2.98,4.09,1.2,0
 96-106,0,0,3.06,2.69,5.42,0.57,67.43,0,0,0.85,17.22,5.99,0,0.58,0.62,0,0,0,3.46,0,21.88,0.71,1.42,0,68.13,0,1.67,2.42,0,0,5.62,0,0,0.94,0,0,2.15,0,0
108-118,0,0,12.23,7.54,1.89,0.47,68.27,0,0,0,26.65,3.97,0,0,0.5,0,0.55,0,0.42,0,7.93,0,0,1.5,78.54,0.56,1.81,1.79,0,0,0.7,0,0,2.54,0,2.84,0,0,0
120,0,0,0,9,7.8,0,82.48,0,1.33,0,22.77,1.86,0,0,0,0,0,0,0,0,10.59,0,0,0,119.16,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0
