stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,27.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.81,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,27.53,0,0,7.1,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.86,0,0,43.73,0,0,0,7.81,0,0,0,0,0,0
 14-21,0,0,0,0,1.31,0,0,0,0,1.25,0,0,0,0,0,0,0,0,5.84,0,15.72,0,0.99,0,0,0,1.06,0,0.84,2.23,4.98,0,0,0
 24-34,0,0,0,0,0.69,0,1.16,0,0,0,0.73,0,0,0,0,0,0,0,0.76,0,20.75,0,0,0,0,0,0,0,0,0,1.09,0,1.26,0
 36-46,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0.74,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.68,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0.97,0.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.52,0,0,7.68,0,0,1.56,0,0,1.66,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,2,0,0,0
 72-82,0,0,0,0,0,0,4.67,0,0,28.43,0,0.6,0.58,0,0,0,0,0,4.33,0,2.69,0,0,0,0,0,0,0,0,0,2.23,0,0,0
 84-94,0,0,0,0.79,0,0,0.71,0,15.06,7.91,0,0,1.27,0,0,0,0,0,2.9,0,3.21,0,1.27,0,0.64,0,0,0,0,0,2.57,0,0,0.63
 96-106,0,0,0,0,0,0,0.79,0.89,0,14.61,21.43,0,0,0,1.05,0,0,0,1.44,0,11.12,0.79,2.43,0,0,0,0,0,0,0,2.94,0,0,0
108-118,0,0,0,1.01,0,0.99,3.68,0,0,3.97,34.85,0,0,0.9,0,0,0,0,0.44,0,16.54,0,1.03,0,0,0,0,1.91,0,0,13.31,0,1.38,0
120,0,0,0,3.71,0,0,0,0,0,57.06,97.98,0,0,4.09,0,0,30.74,1.51,22.53,0,26.72,0,2.56,0,0,0,0,0,0,0,5,1.63,1.33,0
