stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,128.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.18,221.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.47,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.96,7.84,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.38,14.83,0,0,126.31,6.55,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,135.33,3.92,0,0,129.62,0,0,0,78.86,0,0,0,0,0
 14-21,0,0,0,2.94,2.9,554.69,0,0.81,0,0,4.78,0,1.66,6.67,0,0,0,10.97,0,0,7.02,23.46,28.69,0,0,0,7.06,0,1.96,10.27,0,1.69,1.88,47.23,0
 24-34,0,0,2.03,4.31,0.75,116.07,0,3.78,0,0,0,0,5.99,49.79,0,0,1.38,2.84,0,0,3.15,44.4,29.37,0,0,0,3.88,0,0,0.61,0,0.68,5.38,127.3,0
 36-46,0,0,0,0.96,0,8.76,0,0,0,0,0,0,5.36,89.71,0,0,0,0,0.59,0,0,39.83,43.59,0,0,0,3.34,0,0,0.59,0,0,3.64,42.99,0
 48-58,0,0,0,0.57,0,10.5,0,0,0,0,0,0.57,4.28,76.04,0,0,0,0,0,0,0,9.4,14.81,0,0,0,5.39,0,0,2.22,1.65,0,3.16,36.8,0
 60-70,0,0,0,0,2.65,17.17,0,4.49,0,2.19,1.12,0.97,0.71,76.27,2.14,0,5.07,8.17,0,0,0,10.05,10.76,0,0,0,1.27,0,0,0,0,0,4.04,16.87,0
 72-82,0,0,0.87,0,6.2,25.02,0,1,0,0,3.21,0.65,0.82,120.43,0,0,3.54,18.77,0,0,0,15.38,0.58,1.08,0,0,1.89,0,0,1.79,0,0,0,25.53,0
 84-94,0,0,0,0,17.83,30,0,3.11,0,0,12.61,0,2.14,151.07,0,0,14.11,10.65,0,2.76,0,13.86,4.97,0,0,0,3.03,0,0,1.11,0,0,0,9.02,1.13
 96-106,0,0,0,2.11,49.22,65.07,0,4.14,0.61,4.72,11.51,0,0.68,187.27,0,0,15.36,27.75,0,8.04,0,22.21,0.85,0,1.7,0,7.8,6.17,0,1.05,0,0,1.02,17.89,0
108-118,0,0,0,0.55,52.82,20.97,0.55,1.52,0.49,0,23.42,0,0,138.52,0.93,1.34,23.2,3.15,0.53,0,0,9.49,2.39,0,0,0,1.9,0,0,0,0,0,0,17.15,0
120,0,0,0,0,28.34,32.62,0,0,0,0,2.59,0,0,164.71,0,0,32.43,0,0,0,0,26.06,4.74,0,4.64,0,0,0,0,0,0,0,0,20.12,0
