stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,23.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.95,0,0,0,0,4.66,0,0,0,0,0,0,0,0,41.83,0,0,15.17,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.88,0,0,15.25,0,0,0,0,0,0
 14-21,0,0,1.18,0,0,1.45,1.46,0,0,0,0,0,0,0,0,0.9,11.52,0,0,0,3.51,1.88,2.93,0,0,0
 24-34,0,0,4.14,0,0,4.5,0,0,0,0,0,0,0,2.06,0,0,20.53,0.77,0.73,0,1.28,0,3.69,0,1.82,0
 36-46,0,1.19,3.5,0,0,3.33,0,0,0,0,0,0,0,0,0,0,19.36,0,0,0,9.19,0,3.49,0,0,0
 48-58,0,0.41,4.16,0,0,0,0,0,0,2.63,0,0,1.58,2.46,0,3.08,16.28,0,0,0,0,0,3.79,0,0,0
 60-70,0,0,11.32,0,1.14,4.91,0,0,0,0,0,10.2,0,4.87,0,2.18,44.87,0,0,0,0.61,0,7.91,0,0,0
 72-82,0,0,5.87,0,0,0,0,0,0,0.74,0,0,0,2.07,0,1.46,12.81,0,0,0,1.2,0,7.99,0.62,2.13,0.99
 84-94,0,0,19.4,0,0,5.94,0,0,0.91,0,0,0,0,9.26,0,1.76,0.78,0,0,0,0.74,0,1.88,0,0,0
 96-106,0,1.34,2.34,0,0,1.86,0.7,0,0,0,0,0,0,3.9,0,0,4.44,0,0,0,0,0,0,0,0,0
108-118,0,0,11.7,1.15,0,0,0,0,0,0,0,0,0,5.28,4.04,0,12.85,0,0,0,3.04,0,0,0,5.68,0
120,0,1.16,18.43,4.08,0,22.17,1.68,0,1.96,6.54,1.05,0,0,0,0,1.9,52.43,0,0,0,0,0,0,3.65,3.55,0
