stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.45,138.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,116.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.63,18.44,0,12.29,0,0,20.91,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,101.45,22.87,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.09,96.37,0,0,68.54,0,0,5.47,0,3.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,8.51,6.42,3.36,0,0,0,0,0,1.07,0,73.05,0,0,0,5.23,2.94,0,1.79,39.34,16.48,0,0,0,0,6.7,0,3.09,0,1.65,4.7,14.86,0,0,7.17,0,0
 24-34,0,0,0,0,12.48,0.76,16.76,1.3,0,2.31,0,0,8.42,0,184.5,0,0,0.62,24.57,15.36,0,5.23,28.79,12.24,1.34,0,0,0.99,0,0,0,0.66,0,0.68,29.93,0,0,55.72,0,6.56
 36-46,0,0,2.02,0,2.87,0,11.49,4.3,9.65,6.87,0,0,0.57,2.23,60.25,0,0,0,71.59,5.58,1.72,9.04,51,3.45,0.63,0,0,0,10.41,0,0,0,3.87,0,103.37,0,2.46,23.19,0,7.45
 48-58,0,0,0,0,15.12,0,25.1,8.57,14.66,1.67,0,0,0.4,5.91,33.15,0,0,1.21,65.64,2.55,0.5,5.01,41.19,7.89,1.11,0,0,0,0,0,0,0,0,0,20.49,0,0.51,20.2,0,18.28
 60-70,0,0,0.6,0,6.36,0,112.09,14.59,41.07,17.8,0,0,0,10.28,5.08,0,0,5.58,97.6,0,0.88,0,53.95,5.53,5.35,0,0,1.13,0,0,0,0,0.64,0,19.94,0,1.95,8.26,0.61,26.92
 72-82,0,0,0,0.75,9.32,1.52,217.2,6.36,73.42,14.34,0.73,3.11,1.05,7.22,7.32,0,0,1.95,170.98,0,3.01,4.76,130.04,0.52,0,0,0,0,0.56,0,0,0,0,0,34.01,0,3.93,24.42,10.15,72.58
 84-94,0,0,1.19,0,29.25,1.13,193.93,25.96,46.17,14.24,2.08,0,3.41,17.93,6.11,1.78,0,25.35,199.97,1.28,9.41,15.11,146.24,0,5.95,0,0,1.31,3.34,0,0,0,0,0,14.37,10.9,5.99,22.24,12.28,44.58
 96-106,0,0,1.1,0,28.85,1.27,186.21,7.62,44.29,15.04,0.66,0,2.28,25.01,5.57,3.3,0,3.1,199.77,6.11,10.59,0,123.06,7.43,0.73,0,0,0.79,4.66,0,0,3.56,0,0,16.58,37.03,11.3,48.48,7.02,33.09
108-118,0,0,4.73,2.17,37.83,2.35,194.8,16.6,83.16,34.57,7.83,0,1.51,9.73,5.58,3.07,3.77,22.82,230.8,0,10.24,9.01,256.57,2.12,2.36,1.46,0,2.82,1.3,0,0,0,0,0,17.6,54.87,10.01,29.34,11.46,18.79
120,0,0,0,2.55,25.92,17.15,298.04,11.16,100.13,69.52,2.74,0,0,14.26,3.52,1.17,0,9.24,254.8,0,2.35,1.54,242.08,8,0,1.51,0,5.08,0,0,0,0,0,0,55.49,13.16,12.89,54.03,16.38,18.11
