stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,3.72,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,2.01,0,0,0,4.46,3.65,0,2.98,0
 24-34,0,0.61,0.89,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,2.43,0,97.93,0,0,0,0,0,37.03,0,24.75,0
 36-46,0,0,0,2.67,3.38,0,0,11.27,0,0,0,0,0,0,0,0,1.09,2.63,0,0,0,239.66,0,0,0,0,0,49.1,0,2.67,0
 48-58,0,1.85,0,28.5,0.81,0,0,17.92,0.69,0,0,1.5,0,0.43,0,0,0,8.11,0,0,1.53,419.83,0.47,0,0,0,0,48.27,0,2.58,0
 60-70,0,1.13,0.6,89.72,0,0,0,14.15,0,0,0,0,0,23.56,0.79,0,0,19.73,4.69,0,0,601.65,2.08,0,0,0,0,33.32,0,2.66,0
 72-82,0,2.18,0.78,126.13,0,4.54,0,26.28,1.97,0,0,0,0,30.97,0.81,0,0.57,6.66,0,0,0,697.24,2.23,2,0,0,0,31.22,0.63,3.31,0
 84-94,0,2.23,0.76,102.87,0,0,0,19.5,0,0,0,0,1.56,5.73,0.58,0,6.93,5.68,0,0,0,375.01,2.22,0.95,0,0.58,0,24.61,0,0.59,0
 96-106,0,0.64,0,100.11,0,0,0.64,42.07,0,0,0,2.07,1.85,0.63,0.58,0,0,0,0,3.41,0,522.21,0,2.05,0,0,0,10.43,0,0,10.46
108-118,0,3.6,0.51,88.49,0,0,0.8,28.75,0.63,0,0,0,0,2.99,0,3.18,0,14.8,0,0,0,479.46,0.66,0.98,0,0,0,23.46,0,3.55,0
120,0,1.34,1.3,95.3,0,0,0,70.94,0,0,0,5.67,0,0,0,0,0,17.08,3.22,0,0,768.8,0,0,0,0,0,2.1,0,0,0
