stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,heart,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,9.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.61,3.86,0,0,0
 10-12,0,0,0,0,0,0,0,0,22.72,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.68,7.37,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.74,0,1.48,0,0
 48-58,0,0,0.5,0,0,0,0,0.89,0.93,0,0,0,0
 60-70,0,0,39.93,0,0,0,0,0,1.42,0,2.96,0,0
 72-82,0,0,44.44,0,0.67,0.49,0,0,5.69,0,3.58,0,0
 84-94,0,0,24.53,0,0.69,0,0,0,0.82,0,6.19,0,0
 96-106,0,0,73.35,0,3.25,0,1.53,0,0,0,10.19,0,0
108-118,0,0.81,33.99,0.68,1.66,0,0,3.51,0.46,0,2.51,0,0.75
120,0,0,8.26,0,10.33,0,0,0,0,0,5.09,10.2,0
