stage,epidermis,eye,fin_mesenchyme,mesenchyme,neural,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,1.34,0,0,2.03,0,0,0
 24-34,0,0.84,0,0,4.79,0,0,0
 36-46,0,0,0,0,4.12,2.77,0,0.68
 48-58,0,1.32,0,0,4.51,0,0,0
 60-70,0,0,0,3.9,9.64,0,0,0
 72-82,0,3.46,0,5.51,10.01,0,1.57,0
 84-94,0,0,0,3.49,24.94,0,0,1.3
 96-106,2.36,0,0,0,7.16,0,0,2.49
108-118,0,4.65,0.81,3.37,15.91,3.91,0,0
120,2.81,0,0,0,31.77,0,0,0
