stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,499.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,219.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.19,0,0,0,7.11,12.76,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,0,0,0,0,26.28,0,0,0,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,105.53,4.52,0,0,59.92,3.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,8.98,0,4.95,0,0,0,0,0,0,11.73,0,0,0,0,0,0,0,0,0,0,0,309.68,66.36,0,0,50.47,0,6.56,0,26.36,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.07,0,0.9,0,0,0,2.05,0,0,0,0,0,0,0,0,0,2.38,0,0,2.01,17.05,2.78,0,0,0,1.47,0,2.99,2.38,1.83,7.71,4.08,0,0,0,0
 24-34,0,0,1.94,0,5.52,0,6.48,0,0,0,4.46,0,0,0,0,0,0,0,0,1.09,12.04,0,0,2.67,80.86,0,0,0,0,13.39,0,0,0,0,2.75,17.61,0,8.81,0,0.62
 36-46,0,0,0,0,1.07,0,17.37,2.6,0,0,7.39,0,0,0.57,0,0,0,0,0,0,5.53,0,0,2,188.12,0.57,3.12,0,0,27.61,0,0,0,0,0,37.6,0,8.39,0,8.44
 48-58,0,0,0,0,5.4,0.67,47.36,0,0.63,0.94,12.41,0,0,0.78,0,0,0.38,0,0,3.37,13.57,0,0.84,2.61,234.12,6.67,2.07,0,0,3.7,0,0,2.01,1.48,0,62.99,0,3.19,0,5.13
 60-70,0,0,0,0,5.34,0,84.31,0,0.96,1.66,39.34,2.25,0,2.9,0.66,0,2.61,0,0,0,28.65,0,0,0,414.94,0,0,1.03,0,16.58,0,0,0,0,0,42.55,0,7.74,0,0
 72-82,0,0,1.89,0,2.04,0,53.26,0,0,5.41,5.25,0.89,0,0,0.63,0,3.06,0,0,1.81,12.1,0,0.77,7.7,231.09,0,5.03,4.02,0,2.42,0,0,0.63,0,0,13.81,0,10.57,0,0
 84-94,0,0,0,0,10.46,0,42.97,0,0,0,17.3,2.89,0,0,1.33,1.33,0.64,0.65,0,5.7,3.81,0,0,0,119.17,0,0,4.24,0,19.52,0,0,1.48,0,0,12.6,1.91,7.27,2.14,0.77
 96-106,0,0,0,0,3.91,0,44.68,0,0.57,0,19.22,1.48,0,0,1.16,0.92,0,0,0.76,0,22.21,0,0,2.67,128.51,0,1.84,0.59,0,12.42,0,0,0,0,0,3.8,0,0,1.71,3.33
108-118,0,0,0,0,4.64,0,32.64,0,0,0,13.65,5.14,0,0,0,0,1.62,0,0.53,1.28,18.64,1.27,4.74,8.98,82.54,0,0.45,2.49,0,12.12,0,0,2.13,0,0,0,0,0.65,1.28,1.02
120,0,0,0,0,4.6,0,82.22,0,4.63,0,2.7,4.73,0,0,0,0,1.74,3.51,2.85,0,12.01,0,0,0,131.73,1.62,0,0,0,9.14,0,0,3.96,1.32,0,9.36,2.09,6.77,0,0
