stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.63,0,0,0,0,0,0,0,0,0,0
  5-6,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.41,0,0,0,0,0,0,0,0,0,0
  7-9,3.94,0,0,0,4.16,0,0,0,0,0,32.93,0,0,0,0,0,0,0,0,0,26.88,5.58,0,0,3.25,0,28.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,91.15,0,0,0,9.78,0,36.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.69,50.74,0,0.83,0,0,0,1.32,0,0.96,0,5.02,0,0,0,0,0,0,0,12.04,4.46,0,0,0,0,363.76,0.88,0,0,1.67,0,0,0,0,0,0
 24-34,0,0,20.95,0,3.02,0,0,0,2.25,0.67,0,0,3.87,0,0.66,0,4.86,1.22,0,1.38,44.84,0,0,0,0,0,665.87,0,0.83,0,7.02,18.31,0,0,0.64,0,0
 36-46,0,0,44.53,0,0,0,3.11,0,0.76,0,1.26,0,4.82,0,0,0,16.64,1.67,0.55,2.85,67.33,5.14,0.68,0,0,0,497.11,0,0,0,0,12.92,0,0,0.7,0,0
 48-58,0,0,9.77,0,9.8,3.61,0.39,0,6.7,5.09,0,0,1.37,0,0,7.74,29.11,5.14,0.45,3.07,69.73,0.52,0,0,0,0,288.1,0,0.37,0.48,0,7.64,0,0,1.87,0,1.42
 60-70,0,0,52.57,0,12.91,10.46,2.9,0,0,12.12,0,0.65,2.17,0,0,3.47,54.45,3.63,0,5.48,81.66,1.55,1.51,0,0.81,0,286.77,0,0,0,0,16.9,0,0,0,0,0
 72-82,0,0,41.63,6.16,17.29,3.75,0.53,0.9,3.51,16.22,0.59,0.54,6.02,0,0.69,0,120.75,0,4.9,5.73,78.91,2.67,1.63,0.79,0,0,146.52,0,0,1.07,0,12.02,8.32,0,3.55,2.76,0
 84-94,0,1.15,100.64,0,38.86,4.09,4.22,0,4.32,49.52,0,0,7.72,0,0,0,100.44,1.21,9.16,12.93,74.9,2.74,4.44,0,0,0.6,372,0,1.96,0,0,10.68,10.36,0,0,0,0
 96-106,0,0,254.78,8.48,20.73,8.25,0,0,6.43,84.58,0,0.56,3.73,5.73,0,0,105.47,2.28,7.72,8.91,57.7,3.9,0.7,1.97,0,0,269.44,0,2.12,0,0,3.54,20,0,1.8,1.33,0
108-118,0,0,218.87,1.85,12.53,5.47,3.39,0,2.11,83.69,0,1.67,9.52,0,0,0,91.83,1.54,9.74,15.65,87.89,1.77,0.6,0,0,0,173.21,0,1.07,0.5,0,3.93,21.39,0.9,0.62,6.71,0
120,0,0,374.18,0,18.44,12.03,1.77,0,34.75,108.08,0,0,2.19,0,0,0,175.38,9.64,23.32,12.01,116.16,4.07,0,8.63,0,0,177.04,0,0,1.64,0,0,16.46,2.55,2.71,0,0
