stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,6.49,0,0,0,0,0,0,0
  7-9,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.04,0,4.31,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,61.57,1.61,0,2.2,0,0,0,0,64.8,0,1.02,0,0
 24-34,0,0,0.65,0,31.78,0,0,0.61,50.06,0.74,0,0,0,0,0,0,0,0,0,0,183.02,0,0,5.8,0,0,0,0,127.83,0,0,0,0
 36-46,0,0,12.32,0,76.99,0,0,0,275.25,0,0,0,0,0,0,0,1.36,0,0,0,277.26,0,0,3.42,0,0,0,0,289.74,0,0,0,0
 48-58,1.29,0,0.93,0,90.55,0,0,0.37,899.06,0,0,0,0,0.48,0,0,4.77,0,1.23,0.61,221.05,4.05,0,2.49,0,0,0,0,505.72,0,1.38,0,0.54
 60-70,0,0,1.15,0,122.03,0,0,0,2179.26,1.86,0,0,0,0,0,0,1.43,0,0,0,101.5,0,0,2.18,0,1.52,9.88,0,336.84,0,0,0,0
 72-82,0,0,12.15,3.48,138.53,0,0,2.51,3037.24,0,0,0,2.71,0.97,3.56,1.45,8.87,0.74,0,0,161.76,0,1.69,15.12,2.24,1.73,0,0,194.68,3.48,1.76,0,0
 84-94,0,0,6.71,2.8,130.1,0,0,0,2489.41,1.36,0,0,0,0,0,0,3.74,0,0.98,0,76.24,0,0,11.74,0,3.97,0,0,194.49,0.86,0,4.51,12.8
 96-106,0,0,15.55,1,141.76,3.49,0,0,2416.99,0,0,0,0,0,14.08,0,11.81,0,0,1.63,123.54,0,0,19.2,0,0,0,0,142.76,4.84,0,0,0
108-118,0,0,7.61,0,73.7,0,0.74,0,2866.86,0,0.86,1.4,6.82,0,5.97,0,14.22,0,0,2.44,98.58,0,0,23.07,0,3.9,0,2.66,59.96,0.57,1.6,0,0.84
120,0,0,10.76,17.43,179.9,0,3.01,0,4939.07,3.55,4.05,0,0,0,0,0,20.14,0,0,0,241.15,0,0,11.76,0,0,0,0,130.91,0,3.34,0,22.21
