stage,axial,blastomeres,eye,hatching_gland,ionocyte,liver,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,24.71,0,0,0,0,0,0,0,0,0
  5-6,19.26,51.2,0,0,0,0,8.55,0,0,0,0
  7-9,0,0,0,5.32,0,0,15.8,6.42,0,0,0
 10-12,0,0,0,5.92,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.81,0,0,1.24,0
 24-34,0,0,0,0,0,0,1.4,0,0.89,0,0
 36-46,0,0,0,0,0,0,0,0,0.58,0,1.33
 48-58,0,0,0,0,0,0,1.79,0,0.47,1.81,0
 60-70,0,0,0,0,0,0,4.48,0,0,1.02,0
 72-82,0,0,0.74,0,0,1.05,1.88,0,0,0,0
108-118,0,0,0,0,0,0,3.5,0,0,0,0
120,0,0,0,0,1.28,0,19.58,0,0,0,0
