stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,iridophores,liver,mesenchyme,mural_cell,neural,olfactory,pericytes,periderm,spinal_cord,taste,xanthophores
  3-4,57.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.51,0,0,0,0,0,0,0,0,0,13.47,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4.33,0,0,1.03,0,0,0,0,0,0
 24-34,0,0,0,0,0.7,0,0,0,0,0.85,0,3.42,0,0,2.16,1.11,0,0
 36-46,0,0,0,0,2.65,0,0,0,0,0,0,31.92,0.92,0,0,1.86,0,0
 48-58,0,0,0,0,10.65,0,0,2.58,0,0.59,0,68.87,0,0,0,4.71,0,0
 60-70,0,0,0,0,127.69,0.58,0.79,0,0,0,0,155.76,0,0,1.13,6.95,0,7.94
 72-82,0,0,0,0,225.24,0,3.42,1.42,0,2.88,0,167.58,0,0,0,14.02,0,0
 84-94,0,0,0,0.84,162.33,0,2.06,0,0,3.46,0.6,117.98,0,0,0,7.79,0,0
 96-106,0,0,2.36,5.59,174.3,0,7.8,0,0,2.02,0,119.71,0,1.28,1,5.48,1.13,0
108-118,0,0,3.11,0,133.11,0,4.94,0,0,0,0,104.86,0,0,0.5,0,0,0
120,0,0,0,0,75.35,0,0,0,0,0,0,115.89,0,0,0,16.37,0,0
