stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,38.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,53.22,0,0,0,0,4.13,0,0,0,0,0,12.71,0,0,0,0,0,0,0,0,0,0,0,29.22,312.75,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.75,4.41,43.81,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.55,969.95,0,0,34.41,0,0,0,0,29.08,0,5.41,0,0,0,0,0,0
 14-21,0,0,9.77,105.84,14.06,7.33,0,0,0,16.66,15.46,0,1.45,0,0,0,0,0,0,240.92,0,0,111.58,426.17,384.56,0,0,7.8,0,0.86,0,4.85,0,14.24,4.41,316.75,0,0,0,0,0
 24-34,0,0,1.58,72.16,0.79,35.11,0,0,3.09,38.49,0.74,0.67,3.07,0,5.61,1.57,0,0,0.65,176.99,0.66,3.14,45.22,1512.43,190.7,0.66,0.76,0,2.91,3.78,0,0,0.98,0,3.79,502.34,0,0,0,0,0
 36-46,0,0,0,82.26,3.27,93.12,0,0,2,139.25,0.56,0,11.1,0,1.65,0,0,0,0,172.01,0,16.59,7.54,1460.66,87.06,0,4.12,0,0.77,23.05,0,0,0,0,0,545.36,0,3.45,2.36,0.78,1.94
 48-58,0,0,0,36.15,0.37,266.14,0,0,0.99,346.02,0,0,4.17,0,0.4,0,0,0.96,0,174.42,0,17.58,20.49,1043.52,92.64,4.02,2.11,0,1.64,13.06,0,0,0,0,0,430.76,0,1.34,0.81,0,0
 60-70,0,0,0,27.38,0.81,231.35,0,1.71,3.76,304.55,0,0,1.19,0,0,0,0.86,0,0,439.21,0,20.72,17.7,639.31,66.92,0,0.65,0,4.79,2.31,0,0,1.97,0,0,168.81,0,1.96,0,0.98,0
 72-82,0,0,0,12.4,2.79,241.11,0,0.51,2.46,213.37,0.82,0,0,0,0,0,0,1.54,0,497.11,0,30.71,7.69,631.4,45.63,1.64,4.08,0,3.2,6.86,0,0,0,0,0,90.62,0,3.33,0,0,0
 84-94,0,0,0,11.65,5.67,188.52,0,3.27,2.79,155.81,0.95,0,6.81,0,1.78,1.37,0,2.93,16.07,515.45,2.12,22.56,24.42,418.53,65.15,0,2.18,0,2.48,24.1,0,0,0,0,0,51.42,0,10.38,3.39,4.37,2.11
 96-106,0,0,0,14.22,11.37,131.4,0.67,1.87,4.66,190.67,0,0,0.82,0,0,0.95,0,12.27,0,395.82,2.09,16.33,16.56,246.78,20.91,3.66,0.79,0,0,15.45,0,0,0,0.82,0,21.72,0,0.78,0,3.96,0
108-118,1.01,0,0,6.08,1.13,187.22,0,1,2.73,159.39,0.8,0,0,1.42,0,0.83,0,0,0,320.37,0,20.73,13.92,257.09,34.81,2.15,1.09,0,3.57,3.57,0,0,0,0,0,14.72,0.42,2.7,0,1.67,0
120,0,0,0,21.43,0,236.46,0,0,0,279.12,3.34,0,0,9.74,4.81,0,0,0,0,613.16,0,4.95,6.55,384.27,52,2.92,2.25,0,0,1.06,2.5,0,0,0,0,53.17,0,3.48,0,0,0
