stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.6,176.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.76,374.73,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,17.33,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0
  7-9,33.59,19.3,10.98,0,0,40.14,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,372.62,9.49,0,0,110.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.09,0,0,25.64,0,0,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,0,349.45,0,0,0,142.93,0,0,26.21,0,0,0,0,0,0,0
 14-21,0,0,0,6.58,0,7.04,0,0,0,3.71,0,0,0,0,0,0,0,0,0,5.76,0,0,3.9,42.36,0,0,1.54,2.74,2.11,2.97,3.98,8.03,23.02,0,0,1.65,0,0
 24-34,0,0,0,3.4,0.91,5,0,0,0,10.76,0.66,0,0.86,0,0,0,1.8,0,0,5.98,0,0,4.31,112.59,2.8,5.1,0.71,0,16.11,0,0,0,32.96,0,0,1.61,0,0
 36-46,0,0,0,14.18,0,36.44,0,0.89,0,10.87,0,0,0,0,0,0,0.72,0,0,15.85,8.3,0,1.73,126.66,0,0,0,0,26.66,0,0.63,0,27.69,0,0,0.65,0,1.44
 48-58,0,0,0,0.53,0,41.65,0.38,0,0.97,13.92,0,0,0,0,0,0.55,1.39,0,0,16.73,0,0,10.47,111.65,0.5,6.2,3.34,0,3.76,0,0,0,27.8,0,0,0,0,2.44
 60-70,0,0,0,0,1.4,39.6,0.83,0,0.72,11.69,0,0,0,0,0,0,0,0,0,20.26,0,3.88,0,51.96,6.77,3.17,1.26,0,0,0,3.18,0,18.06,0,1.5,1.86,0,0
 72-82,0,0,0,1.2,6.48,50.1,0,0,3.01,16.43,0,0,0,0,0,0.59,1.58,1.95,0,18.98,0,0,3.97,63.46,0,2.46,5.01,0,1.27,0,0,0,7.68,0,0,0,0,5.59
 84-94,0,0,0,1.93,0,41.42,0,0,0.62,15,0,0,0,0,0,0,0,0,2.44,25.3,0,0,0,20.57,0,3.91,0,0,13.46,0,0,0,0,0,0,0.84,0,0
 96-106,0,0,0,4.2,7.32,23.13,0,1.33,0,20.15,0.59,0,1.98,0,0,0,0,2.25,0,16.07,0.68,0.93,2.24,43.52,0.64,1.09,5.42,0,7.95,0,0,0,4.1,0.62,0,0,0.85,0.8
108-118,0,0,0,5.61,0.92,14.92,0.67,3.75,0,19.11,2.09,0,0,0.75,0,0,0,0,0,18.46,0,0,0.5,36.1,0,2.96,5.3,0,5.15,0,0.64,0,6.86,0,1.18,3.72,0,0
120,0,0,0,17.23,22.67,36.59,0,0,0,33.43,2.11,0,0,0,1.17,0,0,0,0,1.23,2.91,0,0,77.66,8.4,11.71,14.25,0,0,0,3.07,0,7.84,0,0,12.15,4.54,0
