stage,blastomeres,eye,mucous,neural,paraxial_mesoderm
  5-6,13.63,0,0,0,8.57
  7-9,0,5.09,0,16.72,9.28
 10-12,0,0,0,8.93,14.16
 96-106,0,0,4.41,0,0
