stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1.9,0,0,1.19,0,0,0,4.88,1.45,0,0,0,1.23,0,0,16,0,0,0,0,1.32,0,4.23,0,0,0
 24-34,0.7,0.78,0,6.29,0,0,0,2.09,0,0,0,0,17.33,0,2.44,85.7,1.41,0,0,0.99,0.88,0.62,30.58,0,0,0
 36-46,11.76,0,0,4.98,3.4,0,0,3.51,0,0,0,0,13.34,0,1.95,83.64,2.12,0,0,0,0,0,12.95,0,0,0
 48-58,13.15,0,0,14.07,1.17,8.6,0,12.99,0,0,0,1.04,7.03,4.04,4.06,50.91,0,0,0.56,2.24,4.33,0,8.61,0.89,0.42,0
 60-70,0,0,0,21.83,3.46,0,0,2.99,0,0,5.07,0,13.75,0,5.62,65.88,0,0,0,0,0,0,23.09,6.58,0.68,0.64
 72-82,0,0,0,7,0,0,0,2.87,0,0.73,0,0,16.85,0,0.84,117.48,0,1.75,0,1.29,2.12,0,13.89,1.13,0,1.53
 84-94,0.73,0,0,18.1,1,0,0,2.59,0,0.74,0.82,0,8.66,1.94,1.34,32.81,0,3.1,0,0,0,0,1.75,3.21,2.24,4.56
 96-106,1.41,0,0,1.51,0,0,3.82,23.59,1.6,4.55,0,0,4.65,0,0,31.79,0,0.61,0,1.81,0,0,0,0,0,0
108-118,0,0,0.43,10.44,1.5,0,0,0,0,0,0,0,2.02,0,0.47,33.22,0,0,0,1.96,0,0,0,0,0,1.78
120,5.7,0,0,9.81,0,0,0,0,0,2.69,0,0,23.13,0,2.81,111.13,0,0,0,0,0,0,0,0,0,0
