stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
 14-21,1.21,0,0.86,0,0,1.01,0.97,0,0,0,0,0,0,0.92,6.37,0,0,0,0,0,1.52,2.44,0
 24-34,0,0,0,0,0,0.63,0,0,0,0,0,0,0,8.29,3.86,0.65,0,0,0,0,0,2.45,0
 36-46,0,0,1.88,8.76,0,7.12,0,0,0,0,0,0,0.63,0,18.31,0,0,0,0,0,0,8.59,0
 48-58,0,0,7.4,0,0,12.66,0,0,0,0,0.74,1.41,0,0,22.01,8.51,0,0,0,0,0,9.78,0
 60-70,0,0,3.9,0,0,13.7,0,0,0,0.72,0,0,0,0,11.03,1.82,0,0,0,1.06,0,3.42,0
 72-82,0,0,11.14,0,1.07,3.63,0,0,0,0,0,0,0,0,9.73,2.61,0,1.12,1.11,1.3,0,4.47,0.87
 84-94,0,0,1.86,0,0,8.8,0,0,0.9,0,0,1.54,0,0.67,16.62,0.86,3.61,0,0,0.75,0,3.91,0
 96-106,1.8,3.88,0,0,0,2.29,0,0,0,0,0,0,0,3.02,3.57,0.97,0,0,0,0,0,9.48,0
108-118,0,1.48,3.46,0,0,7.7,0,0,0,0,0,1.06,0,0,4.93,0,0,0,0.54,0.78,0,1.79,0
120,0,0,2,0,0,9.03,1.9,1.63,0,0,0,0,0,0,0,0,0,0,0,4.05,0,6.89,0
