stage,endocrine_pancreas,endoderm,neural,spinal_cord
 10-12,0,9.34,0,0
 14-21,0,0,3.43,0
 24-34,0,0,0,2.8
 84-94,0,0,3.04,5.34
108-118,0.55,0,4.37,0
