stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,211.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.83,0,0,0,0,0,0,0,0
  5-6,18.75,208.6,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0
  7-9,0,4.21,0,0,0,6.17,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,183.37,3.62,0,0,29.96,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.08,0,0,0,68.74,0,0,0,5.78,0,0,0,0,0,0
 14-21,0,0,0,5.18,2.24,3.68,0,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0,51,0,0,0,0,0,1.39,5.2,0,3.62,15.4,0,0,0,0
 24-34,0,0,0,2.07,0,13.6,0,0,2.15,0,0,0,0,0,0,0,0,8.12,0,0,2.67,167.28,0,0.72,0,0,1.14,1.36,0,0,0,27.07,0,2.24,0,0
 36-46,0,0,0,0.71,0,24.14,0,0.78,1.65,0,0,0,0,0,0,0.85,0,9.57,0,2.76,2.22,207.11,0.85,0.63,0,0,0,0,0,0,0,30.69,0,5.56,0,0
 48-58,0,0,0,1.96,0,55.48,1.12,0.39,14.81,0,0,0,0,0,0.42,0,0,14.18,0.82,0,2.07,158.37,0,0.37,0,0,0,0,0,0,0,37.77,0,1.3,0,0.42
 60-70,0,0,0,3.14,0,64.57,0,0,4.42,0,0,0,0,0,0,0,0,21.5,0,1.02,0,174.81,0,0.63,0,0,0,0,0,0,0,24.59,0,0,0,0
 72-82,0,0,0.61,1.06,0.6,30.39,0,1.77,7.4,0,0,0,0,0,0.6,0,0,25.01,0,0.57,1.08,148.73,0,0,0,0,0,1.9,0,0,0,15.25,0,0.73,2.06,0
 84-94,0,0,0,3.52,2.47,26.3,0.63,0.67,4.54,0,0,0.97,0,0.93,0,0,0,31.67,0,0,2.66,95.08,1.68,1.86,3.79,0,0,5.57,0,0,0,22.42,0,1.79,0,0
 96-106,0,0,0,4.11,0,44.95,0,0,10.79,1.36,0,0,4.05,0,0,0,0,10.83,0,0,4.73,78.36,0,0.57,0,0,0,2.45,0,0,0,3.67,1.8,0,0,0
108-118,0,0,0,0.45,5.63,40.16,0,2.76,11.99,0.8,0,0,0,0.79,0,0,0.54,38.55,0,3.27,0.63,61.04,0,0.45,0.57,0,0,0,0,0,0,0,1.53,0.48,0,0
120,0,0,0,8.09,4.19,25.01,0,0,12.87,0,0,0,0,0,0,0,0,12.57,0,0,2.35,175.72,8.75,0,0,0,0,4.52,0,0,0,0,0,0,0,0
