stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,89.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.5,0,0,23.11,0,0,0,13.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.44,8.59,0,0,39.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.08,0,10.85,0,9.23,0,31.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.35,0,0,0,69.58,0,4.05,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,3.34,0.89,0,4.14,0,0,1.11,1.58,0,0,0,0,0,0,5.84,0,0,6.43,59.91,2.6,0,0,0,0,0,16.96,0,1.03,11.11,17.73,0,0,0,0,0
 24-34,0,0,0,0,5.46,0,0,6.72,0.62,0,1.77,0,0,0.88,0,0,0,0,13.58,0,0,9.27,140.8,0.61,1.65,1.29,0,0,4.27,0,1.6,0,0.9,47.96,0,0,3.98,0,0
 36-46,0,0,0,0,3.01,0,0,41.57,1.03,0,22.38,0,0,0,0,0,0,0,14.86,0,0,5.02,216.85,0,3.28,9.31,0,0,0,0,0.56,0,0,28.25,0,0,3.11,0,0
 48-58,0,0,0,0,4.56,0,0,60.99,0,6.83,22.42,0,0,0,2.29,0,1.04,0,22.42,0,0,2.13,152.69,1.24,0.58,0.41,0,0,0.59,0,0,0,0,25.57,0,0,0.82,0,3.75
 60-70,0,0,0,0,12.32,0,0,109.38,4.06,4.87,19.77,0,0,0,0,0,1.81,0,40.78,0,0,4.78,143.51,0,1.72,1.42,0,0.97,10.02,0,0,0,0,15.72,0,0,0,0,1.18
 72-82,0,0,1.1,0,1.39,0.51,0,107.95,0,0,33.46,0,0,2.59,0,0,0,0,40.57,1.05,0,5.11,119.31,0.89,1.99,1.97,0,0.89,6.9,0,0,0,0,12.46,0.82,1.02,2.85,0.52,0
 84-94,0,0,0,0,9.23,1.49,0,117.4,1.9,0.89,36.09,0,0,4.67,0.55,0,0,0,75.08,0,0,3.03,91.84,0,0.76,5.25,0,2.48,11.85,0,0,0,0,14.2,0.83,5.89,9.29,0.81,0.76
 96-106,0,0,0.61,0,4.47,3.2,0,140.89,0,1.42,43.62,0,0,8.28,3.11,0.75,1.66,0,85.39,0,2.17,2.45,95.55,0,1.36,5.62,0,1.3,7.09,0,0.6,0,0,1.35,0.81,0,12.28,0,1.79
108-118,0,0,2.82,0,8.63,2.23,0.57,143.5,2.73,3.14,24.72,2.33,0.49,3.04,0.84,3.47,0.6,0.42,61.88,0,2.22,5.39,111.02,0,3.29,2.65,0,6.91,6.14,0,0,0,0,4.98,0.51,0,9.93,3.89,1.43
120,0,0,0,0,9.61,0,0,74.38,0,2.12,43.51,0,0,3.42,5.57,0,0,0,48.8,0,0,3.96,130.57,0,7.74,3.27,0,8.63,1.63,0,0,0,0,8.31,0,0,1.96,0,0
