stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,46.84,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.2,0,0,0,0,0,7.63,0,10.41,0,0,0
 10-12,0,0,0,0,0,0,0,0,11.13,0,7.4,0,0,0
 14-21,0,1.94,6.51,0,0,0,0,0,48.23,0,0,0,17.59,0
 24-34,0,0,6.72,0,0,1.05,0,0,23.84,0.78,0,0,13.01,0
 36-46,0,0.76,6.14,0,0,3.34,1.13,0,47.7,0,0,0,28.77,0
 48-58,0,0,2.06,0,0,2.26,3.04,0.39,12.73,0,0,0,2.72,0.89
 60-70,0,0,4.29,0,0,0,1.23,0,4.29,0,0,0,0,0
 72-82,0,0,1.09,0,0,1.05,0.5,0.78,6.54,0,0,0,0,0
 84-94,0,0,2.63,0,0,4.76,0,0.67,7.23,0,0,2.32,0,0
 96-106,0,0,0.65,0,2.49,0,0,0,0.71,0,0,1.44,0,0
108-118,0,0,1.12,1.31,0,2.79,0.54,0,1.33,0,0,0,0,0
120,0,0,0,0,0,0,8.84,0,0,0,0,0,0,0
