stage,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,vasculature,visceral_smooth_muscle
 14-21,0,5.23,0,0,0,0,1.01,0,0,0,0,0,0,0,1.96,1.28,0,0
 24-34,0.74,1.7,0,0,0,0,0,0.77,1.08,0,0,0.59,2.79,0,5.92,0,1.46,0
 36-46,0,0.92,0,0,0,0,0,0,0,0,0,0,8.18,0,10.36,0,0,0
 48-58,0,0,0,0,0.42,0,0,0,0,0.44,0,0,1.84,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.6,0,1.22,0,0,0,4.17,0,3.5,0,0,0
 72-82,0,3.32,0,4.75,0,0,0.7,2.95,0,1.03,0,0,8.31,0,0.95,0,0,0
 84-94,0,1.52,0,1.48,0,0,0,0,0,0.64,4.15,0,1.26,0.76,5.91,0,0,0
 96-106,0,1.31,0,0.6,1.15,0,0,0,0,0,0,0,0,0,2.54,0,0,0
108-118,0,4.29,0.48,0,0,2.73,2.91,0,0,1.26,0,0,7.43,0,3.6,0,0,2.77
120,0,1.63,0,3.36,0,0,1.02,0,0,2.28,0,0,21.64,0,1.37,0,0,0
