stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.98,0,0,0,0,0,0,0,0,0
  5-6,6.17,133.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.73,0,0,0,0,0,0,0,0,0
  7-9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,6.2,0,0,6.54,0,22.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.58,6.15,0,0,3.93,0,15.77,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,1.04,0,0,0,0,0,0,0,0,135.31,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.78,0,0,1.02,2.96,0,0,0,0,0
 24-34,0,0,0,0,0.66,0,0.71,0,0,1.43,0.68,0,206.81,6.49,0,0,2.08,0,1.43,0,0,0,26.76,0,0.8,0,0,0,14.56,2.07,0,0,8.56,0,0,3.03,0,0.81
 36-46,0,0,0,0,0,0,0.62,0,0,0,0,0,297.09,2.73,0,0,0,0,0,0,0,0,55.65,0,1.52,0,0,0,15.03,5.3,0,0,2.22,0,0,0,0,12.41
 48-58,0,0,0,1.86,0,0,3.16,0,0.65,0,0,0,337.43,3.03,0,0,0,0,0.42,1.02,0,0,25.9,0,0.52,5.47,0,0,35,1.07,0,0,2.99,0,0,0,0,24.1
 60-70,0,0,0,1.42,0,0,13.9,0,0,1.12,0,0,633.74,19.33,0,1.02,0,0,9.77,6.26,0,0,15.55,0,4.72,0,0,0,70.4,7.2,1.91,0,1.18,0,0,0,0,25.95
 72-82,0,0,0,15.22,5.46,0,19.7,0.68,0,0.5,1.28,1.77,643.13,34.68,0.59,2.65,2.64,0,0.6,18.49,0,0,27.63,0,1.07,0,0,0,173.64,2.52,0,0,4.04,4.82,1.82,0,0.96,13.41
 84-94,0,0,0,20.26,0,0,11.77,3.51,0,1.63,0.97,0,855.92,32.78,0,0.66,2.32,0,6.01,9.41,0,1.23,29.54,0,16.2,0,0,0,346.06,16.55,0,0,0,0,0,2.36,0,17.46
 96-106,0,0,0,142.6,13,0.63,51.44,23.47,0,26.75,5.12,0.87,1159.15,137.79,0,9.74,11.1,4.29,16.39,57.07,1.9,1.59,108.04,2.06,26.17,2.07,10.66,1.37,1758.24,13.16,0,0,3.59,3.63,0,12.05,0,24.14
108-118,0,0,0,157.69,3.72,3.04,31.82,20.92,0,10.54,17.12,0,1058.17,99.21,0.85,7.86,3.1,0,22.04,72.07,2.51,0.95,84,1.15,26.77,2.13,0,0.87,1235.16,10.61,0,0,0,1.43,0,4.58,0,34.29
120,0,0,0,224.99,16.23,0,29.32,80.56,0,13.66,19.73,0,2199.99,118.27,0,9.26,3.7,0,14.53,59.62,0,8.75,141.63,8.47,19.93,0,0,0,1654.32,18.9,0,0,0,7.53,0,7.67,0,11.87
