stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,81.25,1414.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0
  5-6,108.23,1595.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.31,7.03,0,0,13.49,0,0,0,0,0,0,0
  7-9,20.42,23.41,0,11.08,0,0,115.5,0,0,0,0,42.98,0,0,0,0,0,0,0,878.04,29.1,0,262.86,0,4.25,0,0,0,0,0,0
 10-12,0,12.53,0,19.84,0,0,47.19,0,0,0,0,12.09,0,0,0,0,0,0,0,772.95,35.47,0,198.91,0,0,0,19.6,0,0,0,0
 14-21,0,0,0,0,6.17,1.97,4.63,0,0,0.9,1.92,0,0,0,2.42,0,1.01,0,2.88,52.71,0,0,1.81,0.8,0,8.19,0,2.97,14.54,0,0
 24-34,0,0,0,0.81,2.9,0.67,10.98,0,0,1.25,0.85,0,4.53,0,0,0,3.43,0,2.63,127.9,1.67,0,0,4.38,0,0,0,1.26,16.97,2.31,0
 36-46,0,0,0,0,0.56,0,7.81,0,1,1.85,0,0,0,0.72,2.66,0,5.14,0,1.9,47.01,2.72,0,0,4.24,0,0,0,0,5.99,0.58,0
 48-58,0,0,0,0,2.94,0,6.03,0,0,1.36,0,0,0,0,0,0,8.02,0,1.14,28.93,1.08,0,0,3.09,0,0,0,0,5.33,0.41,0
 60-70,0,0,0,0,0,0,16.19,0,0,5.45,0,0,0,0.63,0.87,0,9.48,0,0.98,22.43,0,0,0,0.68,0,0,0,0,1.32,0,0
 72-82,0,0,0,0,0,0,7.44,0,0.75,3.95,0,0,0,0,0,0,8.78,1.42,0.64,11.46,0,0,0,0,0,0,0,0,0,0.59,0
 84-94,0,0,0,0,0.89,0,3.1,0,0,2.61,1.01,0,0,0,0,2.16,2.79,1.01,0,8.36,0,0,0,0.61,0,0,0,0,0,5.63,0
 96-106,0,0,0,0,3.22,0,1.3,0,0,1.79,0,0,0,0.66,0,0,3.6,0,0.83,11.86,0,1.62,0,0.96,0,0,0,0,0,0,2.34
108-118,0,0,4.12,0,2.24,0,2.89,1,2.5,6.21,0,0,0,0,0,0,0.54,1.83,1.26,4.7,0,0,0,0,0,0,0,0,0.57,0,0
120,0,0,0,0,0,0,7.24,0,2.81,9.34,0,0,0,0,0,0,4.35,0,4.85,3.04,0,0,0,1.65,0,0,0,0,0,0,0
